"date","index","area"
2006-03-31,1.173,"West Coast"
2006-06-30,1.145,"New Zealand"
2006-06-30,1.14,"Auckland"
2006-06-30,1.157,"Bay of Plenty"
2006-06-30,1.156,"Canterbury"
2006-06-30,1.146,"Gisborne"
2006-06-30,1.151,"Hawke's Bay"
2006-06-30,1.134,"Manawatu-Whanganui"
2006-06-30,1.166,"Marlborough"
2006-06-30,1.152,"Nelson"
2006-06-30,1.168,"Northland"
2006-06-30,1.154,"Otago"
2006-06-30,1.123,"Southland"
2006-06-30,1.138,"Taranaki"
2006-06-30,1.137,"Tasman"
2006-06-30,1.131,"Waikato"
2006-06-30,1.13,"Wellington"
2006-06-30,1.185,"West Coast"
2006-09-30,1.156,"New Zealand"
2006-09-30,1.149,"Auckland"
2006-09-30,1.167,"Bay of Plenty"
2006-09-30,1.172,"Canterbury"
2006-09-30,1.157,"Gisborne"
2006-09-30,1.161,"Hawke's Bay"
2006-09-30,1.143,"Manawatu-Whanganui"
2006-09-30,1.175,"Marlborough"
2006-09-30,1.164,"Nelson"
2006-09-30,1.18,"Northland"
2006-09-30,1.167,"Otago"
2006-09-30,1.134,"Southland"
2006-09-30,1.153,"Taranaki"
2006-09-30,1.144,"Tasman"
2006-09-30,1.141,"Waikato"
2006-09-30,1.143,"Wellington"
2006-09-30,1.194,"West Coast"
2006-12-31,1.17,"New Zealand"
2006-12-31,1.161,"Auckland"
2006-12-31,1.179,"Bay of Plenty"
2006-12-31,1.189,"Canterbury"
2006-12-31,1.18,"Gisborne"
2006-12-31,1.173,"Hawke's Bay"
2006-12-31,1.15,"Manawatu-Whanganui"
2006-12-31,1.192,"Marlborough"
2006-12-31,1.183,"Nelson"
2006-12-31,1.196,"Northland"
2006-12-31,1.183,"Otago"
2006-12-31,1.144,"Southland"
2006-12-31,1.17,"Taranaki"
2006-12-31,1.156,"Tasman"
2006-12-31,1.152,"Waikato"
2006-12-31,1.157,"Wellington"
2006-12-31,1.203,"West Coast"
2007-03-31,1.178,"New Zealand"
2007-03-31,1.167,"Auckland"
2007-03-31,1.184,"Bay of Plenty"
2007-03-31,1.2,"Canterbury"
2007-03-31,1.189,"Gisborne"
2007-03-31,1.179,"Hawke's Bay"
2007-03-31,1.155,"Manawatu-Whanganui"
2007-03-31,1.198,"Marlborough"
2007-03-31,1.195,"Nelson"
2007-03-31,1.199,"Northland"
2007-03-31,1.194,"Otago"
2007-03-31,1.157,"Southland"
2007-03-31,1.178,"Taranaki"
2007-03-31,1.161,"Tasman"
2007-03-31,1.158,"Waikato"
2007-03-31,1.164,"Wellington"
2007-03-31,1.215,"West Coast"
2007-06-30,1.189,"New Zealand"
2007-06-30,1.178,"Auckland"
2007-06-30,1.194,"Bay of Plenty"
2007-06-30,1.216,"Canterbury"
2007-06-30,1.206,"Gisborne"
2007-06-30,1.189,"Hawke's Bay"
2007-06-30,1.165,"Manawatu-Whanganui"
2007-06-30,1.217,"Marlborough"
2007-06-30,1.209,"Nelson"
2007-06-30,1.21,"Northland"
