"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28536,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,31494,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28536,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,30363,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,32799,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27318,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,24795,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,27057,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,32103,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,33495,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,28971,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,24099,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,29145,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,42978,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,38541,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,39759,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2001-03-31,51678,"LEED interpolated"
