"area","unit","inc_type","tenure","vintage","inc_freq","level","series","date","value","source"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,40101.6601384269,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,38925.7630570522,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,40924.79663085,"LEED interpolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,39783.5374955645,"LEED interpolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,30297.5246623948,"LEED interpolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,27800.4856783967,"LEED interpolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,35214.9044002912,"LEED interpolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,32383.9599309251,"LEED interpolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,39119.1673475404,"LEED interpolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37208.6322438545,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37715.0125179207,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,38204.8522517086,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,36318.3932869078,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,39385.6964641342,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,33449.0870831853,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,31022.7998461094,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,34597.7546740173,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,40468.99258697,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,41419.1664086084,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,35026.8515649599,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,28487.9274823609,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,36616.5156750229,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,53511.6404161942,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,46824.9818076078,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,48801.9899292463,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,63702.2776834136,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,34066.5364277812,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37307.5092761327,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37405.5628168676,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37025.466775547,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37657.7389344248,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,38914.606811911,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,35607.803656264,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,27678.1525664824,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,34426.2242388449,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,35612.4079520629,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37365.8346884253,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,43847.4232545816,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,41331.9504475382,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,53391.0202148088,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,39545.001992687,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,34846.7615185031,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,34679.3036221542,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,30417.9596820833,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,30858.708814927,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37250.7304030231,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,54626.825185219,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,37140.0580448794,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,36503.7428670616,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,42444.9262991008,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,35946.2852073856,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2005-12-31,36355.3185753391,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,34448.018627218,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,54382.3504617132,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,42429.569594944,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,38915.9481320072,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,35214.9044002912,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,37862.4273442234,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,38343.4649244824,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,35358.433657159,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,51210.5462768279,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,37025.466775547,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,37657.7389344248,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,38914.606811911,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,32458.3701488057,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,41069.7241060002,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,38069.3706843941,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2005-12-31,38251.7172182169,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,34623.3457514787,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,54640.9003078088,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,42612.3797299627,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,39109.9654213382,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,35366.6029335275,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,38059.6182294822,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,38525.3099496549,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,35520.2891047726,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,51453.3641845519,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,32600.9134325371,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,41270.8160706668,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,38255.5804562628,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,38319.1448121446,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,37153.6445170313,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,37836.1592896165,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-01-31,39138.0712079407,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2006-01-31,44311.3826954181,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,31915.3874573859,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37788.8792330651,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,32601.1278544013,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,31271.0693427452,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,31850.7810637379,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,49280.5857130526,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,42491.3405415799,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,45439.0941115776,"LEED interpolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,46657.0850115348,"LEED interpolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,40980.9226361499,"LEED interpolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,36411.8857875492,"LEED interpolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37640.6660786974,"LEED interpolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,41295.7526036994,"LEED interpolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,40277.4400922846,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39145.5087047015,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,41087.1977539,"LEED interpolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39920.3583303764,"LEED interpolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,30522.3497749299,"LEED interpolated"
"Opotiki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,27958.6571189311,"LEED interpolated"
"Gisborne District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,35366.6029335275,"LEED interpolated"
"Wairoa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,32406.3066206167,"LEED interpolated"
"Hastings District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39361.4448983603,"LEED interpolated"
"Napier City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37391.7548292363,"LEED interpolated"
"Central Hawke's Bay District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37903.3416786138,"LEED interpolated"
"New Plymouth District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,38432.9015011391,"LEED interpolated"
"Stratford District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,36479.2621912719,"LEED interpolated"
"South Taranaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39423.1309760895,"LEED interpolated"
"Ruapehu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,33609.3913887902,"LEED interpolated"
"Whanganui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,31150.866564073,"LEED interpolated"
"Rangitikei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,34810.1697826782,"LEED interpolated"
"Manawatu District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,40522.3283913133,"LEED interpolated"
"Palmerston North City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,41590.777605739,"LEED interpolated"
"Tararua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,35270.23437664,"LEED interpolated"
"Horowhenua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,28590.9516549072,"LEED interpolated"
"Kapiti Coast District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,36736.0104500153,"LEED interpolated"
"Porirua City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,53770.4269441295,"LEED interpolated"
"Upper Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,47021.6545384052,"LEED interpolated"
"Lower Hutt City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,48977.6599528309,"LEED interpolated"
"Wellington City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,63986.1851222757,"LEED interpolated"
"Masterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,34224.0242851874,"LEED interpolated"
"Carterton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37573.6728507551,"LEED interpolated"
"South Wairarapa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37610.0418779117,"LEED interpolated"
"Tasman District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37153.6445170313,"LEED interpolated"
"Nelson City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37836.1592896165,"LEED interpolated"
"Marlborough District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39138.0712079407,"LEED interpolated"
"Kaikoura District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,35860.5357708427,"LEED interpolated"
"Buller District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,27703.1017109883,"LEED interpolated"
"Grey District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,34637.8161592299,"LEED interpolated"
"Westland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,35718.6053013753,"LEED interpolated"
"Hurunui District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37467.5564589502,"LEED interpolated"
"Waimakariri District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,43992.6155030544,"LEED interpolated"
"Christchurch City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,41532.6336316921,"LEED interpolated"
"Selwyn District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,53719.0134765392,"LEED interpolated"
"Ashburton District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,39703.3346617913,"LEED interpolated"
"Timaru District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,34976.1743456687,"LEED interpolated"
"Mackenzie District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,34777.5357481028,"LEED interpolated"
"Waimate District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,30515.6397880555,"LEED interpolated"
"Waitaki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,30925.4725432847,"LEED interpolated"
"Central Otago District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37419.8202686821,"LEED interpolated"
"Queenstown-Lakes District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,54919.8834568126,"LEED interpolated"
"Dunedin City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,37346.0386965863,"LEED interpolated"
"Clutha District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,36573.8285780411,"LEED interpolated"
"Southland District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,42419.6175327339,"LEED interpolated"
"Gore District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,35883.190138257,"LEED interpolated"
"Invercargill City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-01-31,36503.8790502261,"LEED interpolated"
"Northland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,34798.6728757393,"LEED interpolated"
"Auckland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,54899.4501539044,"LEED interpolated"
"Waikato Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,42795.1898649813,"LEED interpolated"
"Bay of Plenty Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,39303.9827106691,"LEED interpolated"
"Gisborne Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,35518.3014667637,"LEED interpolated"
"Hawke's Bay Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,38256.8091147411,"LEED interpolated"
"Taranaki Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,38707.1549748275,"LEED interpolated"
"Manawatu-Whanganui Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,35682.1445523863,"LEED interpolated"
"Wellington Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,51696.182092276,"LEED interpolated"
"West Coast Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,32743.4567162686,"LEED interpolated"
"Canterbury Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,41471.9080353334,"LEED interpolated"
"Otago Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,38441.7902281314,"LEED interpolated"
"Southland Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,38386.5724060723,"LEED interpolated"
"Tasman Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,37281.8222585157,"LEED interpolated"
"Nelson Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,38014.5796448083,"LEED interpolated"
"Marlborough Region","Household","Disposable","All",2022-06-13,"annual","Regional Council","Median annual household disposable income for all",2006-02-28,39361.5356039703,"LEED interpolated"
"New Zealand","Household","Disposable","All",2022-06-13,"annual","New Zealand","Median annual household disposable income for all",2006-02-28,44514.691347709,"LEED interpolated"
"Far North District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,32052.6937286929,"LEED interpolated"
"Whangarei District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37990.9396165326,"LEED interpolated"
"Kaipara District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,32743.5639272007,"LEED interpolated"
"Thames-Coromandel District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,31339.0346713726,"LEED interpolated"
"Hauraki District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,31976.8905318689,"LEED interpolated"
"Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,49478.7928565263,"LEED interpolated"
"Matamata-Piako District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,42604.17027079,"LEED interpolated"
"Hamilton City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,45687.5470557888,"LEED interpolated"
"Waipa District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,46862.0425057674,"LEED interpolated"
"Otorohanga District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,41109.461318075,"LEED interpolated"
"South Waikato District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,36388.9428937746,"LEED interpolated"
"Waitomo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,37742.8330393487,"LEED interpolated"
"Taupo District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,41484.3763018497,"LEED interpolated"
"Western Bay of Plenty District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,40453.2200461423,"LEED interpolated"
"Tauranga City","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,39365.2543523507,"LEED interpolated"
"Rotorua District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,41249.59887695,"LEED interpolated"
"Whakatane District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,40057.1791651882,"LEED interpolated"
"Kawerau District","Household","Disposable","All",2022-06-13,"annual","Territorial Local Authority","Median annual household disposable income for all",2006-02-28,30747.1748874649,"LEED interpolated"
