"area","date","dwellings","ann.change"
"Taranaki",2006-11-30,44034,NA
"Tasman",2006-11-30,19980,NA
"Waikato",2006-11-30,167885,NA
"Wellington",2006-11-30,183451,NA
"West Coast",2006-11-30,15210,NA
"Auckland",2006-12-31,477993,NA
"Bay of Plenty",2006-12-31,109794,NA
"Canterbury",2006-12-31,222401,NA
"Gisborne",2006-12-31,17342,NA
"Hawke's Bay",2006-12-31,60669,NA
"Manawatu-Whanganui",2006-12-31,95195,NA
"Marlborough",2006-12-31,20581,NA
"Nelson",2006-12-31,18550,NA
"Northland",2006-12-31,67733,NA
"Otago",2006-12-31,88257,NA
"Southland",2006-12-31,40663,NA
"Taranaki",2006-12-31,44067,NA
"Tasman",2006-12-31,19989,NA
"Waikato",2006-12-31,168100,NA
"Wellington",2006-12-31,183573,NA
"West Coast",2006-12-31,15237,NA
"Auckland",2007-01-31,478457,NA
"Bay of Plenty",2007-01-31,109926,NA
"Canterbury",2007-01-31,222602,NA
"Gisborne",2007-01-31,17342,NA
"Hawke's Bay",2007-01-31,60732,NA
"Manawatu-Whanganui",2007-01-31,95260,NA
"Marlborough",2007-01-31,20598,NA
"Nelson",2007-01-31,18561,NA
"Northland",2007-01-31,67823,NA
"Otago",2007-01-31,88315,NA
"Southland",2007-01-31,40686,NA
"Taranaki",2007-01-31,44152,NA
"Tasman",2007-01-31,20001,NA
"Waikato",2007-01-31,168384,NA
"Wellington",2007-01-31,183695,NA
"West Coast",2007-01-31,15242,NA
"Auckland",2007-02-28,479208,NA
"Bay of Plenty",2007-02-28,110041,NA
"Canterbury",2007-02-28,222825,NA
"Gisborne",2007-02-28,17346,NA
"Hawke's Bay",2007-02-28,60775,NA
"Manawatu-Whanganui",2007-02-28,95329,NA
"Marlborough",2007-02-28,20627,NA
"Nelson",2007-02-28,18576,NA
"Northland",2007-02-28,67926,NA
"Otago",2007-02-28,88432,NA
"Southland",2007-02-28,40723,NA
"Taranaki",2007-02-28,44196,NA
"Tasman",2007-02-28,20017,NA
"Waikato",2007-02-28,168577,NA
"Wellington",2007-02-28,183901,NA
"West Coast",2007-02-28,15248,NA
"Auckland",2007-03-31,479770,0.0165932461610505
"Bay of Plenty",2007-03-31,110179,0.0181961001755846
"Canterbury",2007-03-31,223118,0.0151879151879153
