"area","date","dwellings","ann.change"
"Hawke's Bay",2009-03-31,62329,0.0112926516638814
"Manawatu-Whanganui",2009-03-31,97318,0.0101934894535791
"Marlborough",2009-03-31,21348,0.0175890175890177
"Nelson",2009-03-31,19224,0.0185979971387698
"Northland",2009-03-31,70524,0.0171339563862929
"Otago",2009-03-31,90834,0.0123487060606735
"Southland",2009-03-31,41464,0.00986385445334759
"Taranaki",2009-03-31,45374,0.0123831410785604
"Tasman",2009-03-31,20490,0.0102055908889218
"Waikato",2009-03-31,174947,0.0169208770257387
"Wellington",2009-03-31,187488,0.0099819538341368
"West Coast",2009-03-31,15737,0.0143741137037514
"Auckland",2009-04-30,492503,0.012114474073587
"Bay of Plenty",2009-04-30,113460,0.0135153242159236
"Canterbury",2009-04-30,229529,0.0129705635729731
"Gisborne",2009-04-30,17623,0.00846924177396291
"Hawke's Bay",2009-04-30,62367,0.0112365016052145
"Manawatu-Whanganui",2009-04-30,97365,0.00992656211102805
"Marlborough",2009-04-30,21375,0.01746953541508
"Nelson",2009-04-30,19250,0.0185724112386898
"Northland",2009-04-30,70613,0.0168337077357295
"Otago",2009-04-30,90939,0.012762687514617
"Southland",2009-04-30,41493,0.00980773910927235
"Taranaki",2009-04-30,45427,0.0127296236846799
"Tasman",2009-04-30,20513,0.0108411767604593
"Waikato",2009-04-30,175172,0.017005045197773
"Wellington",2009-04-30,187911,0.0115141140753181
"West Coast",2009-04-30,15758,0.0148119526017516
"Auckland",2009-05-31,492799,0.0117808652304332
"Bay of Plenty",2009-05-31,113540,0.0127282295541107
"Canterbury",2009-05-31,229700,0.0123134690136004
"Gisborne",2009-05-31,17625,0.00789157659975981
"Hawke's Bay",2009-05-31,62403,0.010656733338732
"Manawatu-Whanganui",2009-05-31,97475,0.0101140944465745
"Marlborough",2009-05-31,21399,0.016531281174291
"Nelson",2009-05-31,19276,0.0177939701145784
"Northland",2009-05-31,70718,0.0169837640392885
"Otago",2009-05-31,91012,0.0122341845359908
"Southland",2009-05-31,41538,0.0102145045965272
"Taranaki",2009-05-31,45472,0.0125364626244182
"Tasman",2009-05-31,20544,0.0105760243986424
"Waikato",2009-05-31,175385,0.0163416683568511
"Wellington",2009-05-31,188017,0.0112300932076224
"West Coast",2009-05-31,15771,0.0137558655267724
"Auckland",2009-06-30,493139,0.0110942984614375
"Bay of Plenty",2009-06-30,113611,0.0119714608923369
"Canterbury",2009-06-30,229831,0.0116335369825871
"Gisborne",2009-06-30,17629,0.00760173754000903
"Hawke's Bay",2009-06-30,62440,0.0102905960779238
"Manawatu-Whanganui",2009-06-30,97508,0.00958770785446572
"Marlborough",2009-06-30,21417,0.0163242063303755
"Nelson",2009-06-30,19297,0.0167017913593257
"Northland",2009-06-30,70800,0.0166570936243537
"Otago",2009-06-30,91059,0.0116430214084946
"Southland",2009-06-30,41557,0.00989064398541917
"Taranaki",2009-06-30,45513,0.0122322798745635
"Tasman",2009-06-30,20567,0.0105640723270439
"Waikato",2009-06-30,175530,0.0152463359052368
"Wellington",2009-06-30,188099,0.0101064886664484
"West Coast",2009-06-30,15793,0.0133461661854346
"Auckland",2009-07-31,493376,0.010682950911687
"Bay of Plenty",2009-07-31,113700,0.0116648426447428
"Canterbury",2009-07-31,229952,0.0108757769982153
"Gisborne",2009-07-31,17638,0.00667770104446097
"Hawke's Bay",2009-07-31,62480,0.00990835178689764
"Manawatu-Whanganui",2009-07-31,97574,0.00957071464784942
"Marlborough",2009-07-31,21426,0.0151134694651063
"Nelson",2009-07-31,19318,0.0152406979188564
"Northland",2009-07-31,70874,0.0163624109101861
"Otago",2009-07-31,91105,0.0108625701795264
"Southland",2009-07-31,41577,0.00939548434085946
"Taranaki",2009-07-31,45543,0.0118867756843228
"Tasman",2009-07-31,20582,0.00991167811579974
"Waikato",2009-07-31,175702,0.0145570241539199
"Wellington",2009-07-31,188295,0.0102476057622662
"West Coast",2009-07-31,15815,0.0137820512820512
"Auckland",2009-08-31,493625,0.00984838720896208
"Bay of Plenty",2009-08-31,113760,0.0106250666287624
"Canterbury",2009-08-31,230110,0.0102779570529792
"Gisborne",2009-08-31,17643,0.00644609241300631
"Hawke's Bay",2009-08-31,62504,0.0091870509405021
"Manawatu-Whanganui",2009-08-31,97597,0.0086815424207034
"Marlborough",2009-08-31,21450,0.0146641438032167
"Nelson",2009-08-31,19328,0.0139544643793936
"Northland",2009-08-31,70940,0.015226973495907
"Otago",2009-08-31,91175,0.0103388666031339
"Southland",2009-08-31,41597,0.00926847021715393
"Taranaki",2009-08-31,45573,0.0111828529587965
"Tasman",2009-08-31,20590,0.00847333104765635
"Waikato",2009-08-31,175851,0.0138601417147601
"Wellington",2009-08-31,188445,0.0101039879931388
"West Coast",2009-08-31,15828,0.013640730067243
"Auckland",2009-09-30,493869,0.00946161393181266
"Bay of Plenty",2009-09-30,113902,0.0109435603404664
"Canterbury",2009-09-30,230243,0.0095366294263115
"Gisborne",2009-09-30,17655,0.00655644241733189
"Hawke's Bay",2009-09-30,62535,0.00898705992448923
"Manawatu-Whanganui",2009-09-30,97624,0.00816870281825421
"Marlborough",2009-09-30,21460,0.0138902012661817
"Nelson",2009-09-30,19347,0.0146318439269981
"Northland",2009-09-30,71090,0.0158181272594773
"Otago",2009-09-30,91234,0.00982888008323557
"Southland",2009-09-30,41621,0.00931202560807032
"Taranaki",2009-09-30,45626,0.0114162842765622
"Tasman",2009-09-30,20609,0.00886038770315256
"Waikato",2009-09-30,176021,0.0133037821656785
"Wellington",2009-09-30,188707,0.0107282115005571
"West Coast",2009-09-30,15835,0.0129861821903787
"Auckland",2009-10-31,494050,0.00893861822073094
"Bay of Plenty",2009-10-31,113992,0.0105852940654976
"Canterbury",2009-10-31,230347,0.00870117358556666
"Gisborne",2009-10-31,17667,0.00637994873255487
"Hawke's Bay",2009-10-31,62553,0.00800889519143988
"Manawatu-Whanganui",2009-10-31,97659,0.00726110051054607
"Marlborough",2009-10-31,21473,0.0133553563001416
"Nelson",2009-10-31,19362,0.0143014301430142
"Northland",2009-10-31,71154,0.0153108545825544
"Otago",2009-10-31,91286,0.00963335729690873
"Southland",2009-10-31,41655,0.00925544544859846
"Taranaki",2009-10-31,45652,0.0108945969884855
"Tasman",2009-10-31,20632,0.00944273203189971
"Waikato",2009-10-31,176184,0.0128311258278146
"Wellington",2009-10-31,188775,0.0102645338413867
"West Coast",2009-10-31,15846,0.0119420141771505
"Auckland",2009-11-30,494349,0.00855853466461554
"Bay of Plenty",2009-11-30,114032,0.0098566228889736
"Canterbury",2009-11-30,230442,0.00792546909854352
"Gisborne",2009-11-30,17668,0.00569216757741353
"Hawke's Bay",2009-11-30,62578,0.00727553681228477
"Manawatu-Whanganui",2009-11-30,97697,0.00656295075211211
"Marlborough",2009-11-30,21481,0.0114417553441943
"Nelson",2009-11-30,19383,0.013702212227394
"Northland",2009-11-30,71205,0.0143451380381208
"Otago",2009-11-30,91345,0.00905827119580227
"Southland",2009-11-30,41677,0.00893289435460454
"Taranaki",2009-11-30,45677,0.0104860296882949
"Tasman",2009-11-30,20650,0.00968120477214951
"Waikato",2009-11-30,176323,0.0120360910541482
"Wellington",2009-11-30,188828,0.00971060680598046
"West Coast",2009-11-30,15860,0.0119959162838184
"Auckland",2009-12-31,494557,0.00809851116220672
"Bay of Plenty",2009-12-31,114108,0.00953729098469425
"Canterbury",2009-12-31,230538,0.00771066642188356
"Gisborne",2009-12-31,17669,0.0055201456863192
"Hawke's Bay",2009-12-31,62596,0.00685217950780115
"Manawatu-Whanganui",2009-12-31,97729,0.00599092097542897
"Marlborough",2009-12-31,21500,0.0109084069964265
"Nelson",2009-12-31,19413,0.0147935180345007
"Northland",2009-12-31,71247,0.0136727086475259
"Otago",2009-12-31,91422,0.0090951235126604
"Southland",2009-12-31,41710,0.0085598220330787
"Taranaki",2009-12-31,45705,0.0097428419936374
"Tasman",2009-12-31,20664,0.01006941049956
"Waikato",2009-12-31,176436,0.0117091184329736
"Wellington",2009-12-31,188886,0.00923823314115957
"West Coast",2009-12-31,15883,0.01262352566146
"Auckland",2010-01-31,494721,0.00755789087798608
"Bay of Plenty",2010-01-31,114141,0.00872262580200434
"Canterbury",2010-01-31,230558,0.00693980407828132
"Gisborne",2010-01-31,17677,0.00568925300108103
"Hawke's Bay",2010-01-31,62615,0.00602506426735228
"Manawatu-Whanganui",2010-01-31,97742,0.00570029221714607
"Marlborough",2010-01-31,21518,0.0108042089440059
"Nelson",2010-01-31,19414,0.0133625639419563
"Northland",2010-01-31,71285,0.0131898744972072
"Otago",2010-01-31,91465,0.00861232411450752
"Southland",2010-01-31,41728,0.00811751063007349
"Taranaki",2010-01-31,45731,0.00924699858757072
"Tasman",2010-01-31,20673,0.0102130570758405
"Waikato",2010-01-31,176513,0.0111012458828583
"Wellington",2010-01-31,188952,0.00901940052226013
"West Coast",2010-01-31,15893,0.0118418539504679
"Auckland",2010-02-28,494916,0.00692351982551842
"Bay of Plenty",2010-02-28,114171,0.0079633438981539
"Canterbury",2010-02-28,230612,0.00629666316124777
"Gisborne",2010-02-28,17678,0.00431769117145775
"Hawke's Bay",2010-02-28,62633,0.00552264444765527
"Manawatu-Whanganui",2010-02-28,97752,0.0051929622507636
"Marlborough",2010-02-28,21531,0.00975472494489527
"Nelson",2010-02-28,19419,0.0123553331248045
"Northland",2010-02-28,71352,0.0128609147432075
"Otago",2010-02-28,91501,0.00840882540942056
"Southland",2010-02-28,41756,0.00745530436461017
"Taranaki",2010-02-28,45766,0.00926211793763509
"Tasman",2010-02-28,20684,0.0103556076592419
"Waikato",2010-02-28,176614,0.010551009898724
"Wellington",2010-02-28,189143,0.00931711820359982
"West Coast",2010-02-28,15901,0.0114496533299409
"Auckland",2010-03-31,495204,0.00687237711051103
"Bay of Plenty",2010-03-31,114212,0.00721378556184638
"Canterbury",2010-03-31,230724,0.00613122388996934
"Gisborne",2010-03-31,17678,0.00363347337345288
"Hawke's Bay",2010-03-31,62663,0.00535866129730933
"Manawatu-Whanganui",2010-03-31,97781,0.00475759879981097
"Marlborough",2010-03-31,21546,0.00927487352445189
"Nelson",2010-03-31,19430,0.010715771951727
"Northland",2010-03-31,71393,0.0123220463955533
"Otago",2010-03-31,91558,0.00797058370213799
"Southland",2010-03-31,41781,0.00764518618560683
"Taranaki",2010-03-31,45786,0.00908008991933706
"Tasman",2010-03-31,20704,0.0104441190824793
"Waikato",2010-03-31,176700,0.0100201775394835
"Wellington",2010-03-31,189188,0.00906724697047268
"West Coast",2010-03-31,15909,0.010929656224185
"Auckland",2010-04-30,495479,0.00604260278617597
"Bay of Plenty",2010-04-30,114250,0.00696280627533929
"Canterbury",2010-04-30,230770,0.00540672420478461
"Gisborne",2010-04-30,17681,0.0032911536060829
"Hawke's Bay",2010-04-30,62689,0.00516298683598704
"Manawatu-Whanganui",2010-04-30,97805,0.00451907769732451
"Marlborough",2010-04-30,21553,0.00832748538011696
"Nelson",2010-04-30,19435,0.00961038961038962
"Northland",2010-04-30,71506,0.012646396555875
"Otago",2010-04-30,91584,0.00709266651271734
"Southland",2010-04-30,41799,0.00737473790759879
"Taranaki",2010-04-30,45808,0.00838708257203868
"Tasman",2010-04-30,20719,0.0100424121288938
"Waikato",2010-04-30,176775,0.0091510058685178
"Wellington",2010-04-30,189240,0.00707249708638669
"West Coast",2010-04-30,15918,0.010153572788425
"Auckland",2010-05-31,495880,0.00625204190755246
"Bay of Plenty",2010-05-31,114320,0.00686982561211913
"Canterbury",2010-05-31,230855,0.0050282977797127
"Gisborne",2010-05-31,17682,0.0032340425531916
"Hawke's Bay",2010-05-31,62714,0.00498373475634195
"Manawatu-Whanganui",2010-05-31,97828,0.00362144139522957
"Marlborough",2010-05-31,21566,0.00780410299546719
"Nelson",2010-05-31,19462,0.00964930483502791
"Northland",2010-05-31,71553,0.0118074606182301
"Otago",2010-05-31,91621,0.00669142530655309
"Southland",2010-05-31,41821,0.00681303866339245
"Taranaki",2010-05-31,45855,0.00842276565798739
"Tasman",2010-05-31,20730,0.00905373831775691
"Waikato",2010-05-31,176876,0.00850129714627812
"Wellington",2010-05-31,189298,0.00681321369876131
"West Coast",2010-05-31,15925,0.00976475810031063
"Auckland",2010-06-30,496049,0.00590097315361393
"Bay of Plenty",2010-06-30,114380,0.0067687107762453
"Canterbury",2010-06-30,230934,0.00479917852683065
"Gisborne",2010-06-30,17690,0.0034602076124568
"Hawke's Bay",2010-06-30,62829,0.00622998078155024
"Manawatu-Whanganui",2010-06-30,97854,0.00354842679575018
"Marlborough",2010-06-30,21590,0.00807769528878932
"Nelson",2010-06-30,19472,0.00906876716588068
"Northland",2010-06-30,71599,0.0112853107344633
"Otago",2010-06-30,91652,0.00651226128114746
"Southland",2010-06-30,41846,0.00695430372741046
"Taranaki",2010-06-30,45884,0.00815151714894635
"Tasman",2010-06-30,20744,0.00860601935138816
"Waikato",2010-06-30,176974,0.00822651398621321
"Wellington",2010-06-30,189398,0.00690593783061044
"West Coast",2010-06-30,15932,0.0088013676945482
"Auckland",2010-07-31,496277,0.00587989687378387
"Bay of Plenty",2010-07-31,114448,0.00657871591908532
"Canterbury",2010-07-31,231067,0.00484883801836911
"Gisborne",2010-07-31,17691,0.00300487583626263
"Hawke's Bay",2010-07-31,62877,0.00635403329065309
"Manawatu-Whanganui",2010-07-31,97892,0.00325906491483385
"Marlborough",2010-07-31,21607,0.00844768038831334
"Nelson",2010-07-31,19478,0.00828243089346725
"Northland",2010-07-31,71650,0.0109490080988797
"Otago",2010-07-31,91718,0.00672850008232251
"Southland",2010-07-31,41863,0.00687880318445289
"Taranaki",2010-07-31,45920,0.00827789122367872
"Tasman",2010-07-31,20757,0.00850257506559138
"Waikato",2010-07-31,177110,0.00801356842836176
"Wellington",2010-07-31,189471,0.00624551899944237
"West Coast",2010-07-31,15947,0.00834650648118873
"Auckland",2010-08-31,496470,0.00576348442643715
"Bay of Plenty",2010-08-31,114509,0.00658403656821371
"Canterbury",2010-08-31,231204,0.00475424796836288
"Gisborne",2010-08-31,17696,0.00300402425891289
"Hawke's Bay",2010-08-31,62902,0.00636759247408158
"Manawatu-Whanganui",2010-08-31,97930,0.00341199012264726
"Marlborough",2010-08-31,21624,0.00811188811188801
"Nelson",2010-08-31,19489,0.00832988410596025
"Northland",2010-08-31,71702,0.0107414716661969
"Otago",2010-08-31,91758,0.00639429668220459
"Southland",2010-08-31,41883,0.00687549582902602
"Taranaki",2010-08-31,45963,0.00855769863735101
"Tasman",2010-08-31,20774,0.00893637688198146
"Waikato",2010-08-31,177281,0.00813188437938939
"Wellington",2010-08-31,189559,0.00591153917588683
"West Coast",2010-08-31,15958,0.00821329289866068
"Auckland",2010-09-30,496867,0.00607043568233689
"Bay of Plenty",2010-09-30,114573,0.00589102913030493
"Canterbury",2010-09-30,231368,0.00488614203254811
"Gisborne",2010-09-30,17698,0.00243557065986977
"Hawke's Bay",2010-09-30,62943,0.00652434636603494
"Manawatu-Whanganui",2010-09-30,97982,0.00366713103335248
"Marlborough",2010-09-30,21641,0.00843429636533077
"Nelson",2010-09-30,19502,0.00801157802243235
"Northland",2010-09-30,71763,0.00946687297791526
"Otago",2010-09-30,91800,0.00620382752044191
"Southland",2010-09-30,41908,0.00689555753105409
"Taranaki",2010-09-30,46009,0.00839433656248634
"Tasman",2010-09-30,20793,0.00892813819205207
"Waikato",2010-09-30,177426,0.00798200214747102
"Wellington",2010-09-30,189619,0.00483288908201596
"West Coast",2010-09-30,15967,0.00833596463530162
"Auckland",2010-10-31,497131,0.00623621090982684
"Bay of Plenty",2010-10-31,114649,0.00576356235525299
"Canterbury",2010-10-31,231497,0.00499246788540764
"Gisborne",2010-10-31,17705,0.00215090281315455
"Hawke's Bay",2010-10-31,62982,0.00685818425974771
"Manawatu-Whanganui",2010-10-31,98040,0.00390133013854332
"Marlborough",2010-10-31,21655,0.00847576025706709
"Nelson",2010-10-31,19522,0.00826360913128799
"Northland",2010-10-31,71837,0.00959889816454451
"Otago",2010-10-31,91900,0.006726113533291
"Southland",2010-10-31,41930,0.00660184851758494
"Taranaki",2010-10-31,46075,0.00926574958380799
"Tasman",2010-10-31,20817,0.00896665374176031
"Waikato",2010-10-31,177592,0.00799164509830641
"Wellington",2010-10-31,189700,0.00490001324327904
"West Coast",2010-10-31,15976,0.00820396314527327
"Auckland",2010-11-30,497436,0.00624457620021479
"Bay of Plenty",2010-11-30,114728,0.00610354988073514
"Canterbury",2010-11-30,231686,0.00539832148653452
"Gisborne",2010-11-30,17708,0.00226398007697526
"Hawke's Bay",2010-11-30,63049,0.00752660679472017
"Manawatu-Whanganui",2010-11-30,98072,0.0038383983131518
"Marlborough",2010-11-30,21664,0.00851915646385182
"Nelson",2010-11-30,19537,0.00794510653665581
"Northland",2010-11-30,71918,0.0100133417597079
"Otago",2010-11-30,91961,0.00674366413049432
"Southland",2010-11-30,41945,0.00643040525949568
"Taranaki",2010-11-30,46126,0.00982989250607536
"Tasman",2010-11-30,20837,0.00905569007263929
"Waikato",2010-11-30,177753,0.00811011609375978
"Wellington",2010-11-30,189821,0.00525875399834774
"West Coast",2010-11-30,15991,0.00825977301387137
"Auckland",2010-12-31,497721,0.00639764476086691
"Bay of Plenty",2010-12-31,114765,0.00575770322852032
"Canterbury",2010-12-31,231823,0.00557391839956978
"Gisborne",2010-12-31,17716,0.00266002603429727
"Hawke's Bay",2010-12-31,63086,0.00782797622851295
"Manawatu-Whanganui",2010-12-31,98115,0.00394969763325115
"Marlborough",2010-12-31,21680,0.00837209302325581
"Nelson",2010-12-31,19547,0.00690259104723645
"Northland",2010-12-31,71997,0.0105267590214324
"Otago",2010-12-31,92040,0.00675986086499969
"Southland",2010-12-31,41972,0.006281467274035
"Taranaki",2010-12-31,46166,0.0100864238048353
"Tasman",2010-12-31,20854,0.00919473480449096
"Waikato",2010-12-31,177879,0.00817860300618922
"Wellington",2010-12-31,189951,0.0056383215272704
"West Coast",2010-12-31,16001,0.0074293269533463
"Auckland",2011-01-31,497941,0.00650871905579109
"Bay of Plenty",2011-01-31,114816,0.00591373827108566
"Canterbury",2011-01-31,231906,0.00584668499900243
"Gisborne",2011-01-31,17718,0.00231939808791082
"Hawke's Bay",2011-01-31,63133,0.00827277808831739
"Manawatu-Whanganui",2011-01-31,98135,0.00402078942522155
"Marlborough",2011-01-31,21688,0.00790036248722004
"Nelson",2011-01-31,19563,0.00767487380241061
"Northland",2011-01-31,72066,0.0109560216034228
"Otago",2011-01-31,92075,0.00666921773355922
"Southland",2011-01-31,41997,0.0064465107361964
"Taranaki",2011-01-31,46211,0.0104961623406441
"Tasman",2011-01-31,20856,0.00885212596139895
"Waikato",2011-01-31,177971,0.00826001484309935
"Wellington",2011-01-31,190010,0.00559930564376132
"West Coast",2011-01-31,16007,0.00717296923173727
"Auckland",2011-02-28,498222,0.00667992144121432
"Bay of Plenty",2011-02-28,114880,0.00620998327070788
"Canterbury",2011-02-28,232055,0.00625726328204945
"Gisborne",2011-02-28,17724,0.00260210431044228
"Hawke's Bay",2011-02-28,63176,0.00866955119505697
"Manawatu-Whanganui",2011-02-28,98185,0.00442957688845236
"Marlborough",2011-02-28,21696,0.00766336909572241
"Nelson",2011-02-28,19577,0.00813636129563822
"Northland",2011-02-28,72158,0.0112961094293083
"Otago",2011-02-28,92131,0.00688517065387262
"Southland",2011-02-28,42015,0.00620270140818091
"Taranaki",2011-02-28,46263,0.0108595900887121
"Tasman",2011-02-28,20885,0.00971765615935016
"Waikato",2011-02-28,178109,0.00846478761593072
"Wellington",2011-02-28,190100,0.00505966385221757
"West Coast",2011-02-28,16020,0.00748380604993404
"Auckland",2011-03-31,498521,0.00669824961026166
"Bay of Plenty",2011-03-31,114948,0.00644415648093011
"Canterbury",2011-03-31,232278,0.00673532012274403
"Gisborne",2011-03-31,17729,0.00288494173549037
"Hawke's Bay",2011-03-31,63213,0.00877710929894837
"Manawatu-Whanganui",2011-03-31,98233,0.00462257493787144
"Marlborough",2011-03-31,21716,0.00789009560939391
"Nelson",2011-03-31,19602,0.00885229027277412
"Northland",2011-03-31,72201,0.0113176361828191
"Otago",2011-03-31,92204,0.00705563686406441
"Southland",2011-03-31,42035,0.00607931835044639
"Taranaki",2011-03-31,46309,0.011422705630542
"Tasman",2011-03-31,20897,0.00932187017001551
"Waikato",2011-03-31,178283,0.00895868704018099
"Wellington",2011-03-31,190209,0.00539674820813163
"West Coast",2011-03-31,16036,0.00798290275944424
"Auckland",2011-04-30,498801,0.00670462320300147
"Bay of Plenty",2011-04-30,115011,0.00666083150984687
"Canterbury",2011-04-30,232443,0.00724964250119164
"Gisborne",2011-04-30,17734,0.00299756801085915
"Hawke's Bay",2011-04-30,63282,0.00945939479015467
"Manawatu-Whanganui",2011-04-30,98268,0.00473390930933992
"Marlborough",2011-04-30,21727,0.00807312207117339
"Nelson",2011-04-30,19657,0.0114226910213533
"Northland",2011-04-30,72265,0.0106144938886248
"Otago",2011-04-30,92270,0.00749039133473106
"Southland",2011-04-30,42055,0.00612454843417298
"Taranaki",2011-04-30,46352,0.0118756549074397
"Tasman",2011-04-30,20904,0.00892900236497907
"Waikato",2011-04-30,178424,0.00932824211568373
"Wellington",2011-04-30,190300,0.0056013527795391
"West Coast",2011-04-30,16047,0.00810403316999619
"Auckland",2011-05-31,499093,0.0064793901750424
"Bay of Plenty",2011-05-31,115062,0.00649055283414968
"Canterbury",2011-05-31,232580,0.00747222282385041
"Gisborne",2011-05-31,17741,0.00333672661463624
"Hawke's Bay",2011-05-31,63313,0.00955129636125895
"Manawatu-Whanganui",2011-05-31,98294,0.00476346240340186
"Marlborough",2011-05-31,21739,0.00802188630251321
"Nelson",2011-05-31,19682,0.0113040797451445
"Northland",2011-05-31,72314,0.0106354730060234
"Otago",2011-05-31,92320,0.00762925530173209
"Southland",2011-05-31,42081,0.00621697233447316
"Taranaki",2011-05-31,46415,0.0122124086795332
"Tasman",2011-05-31,20915,0.00892426435118177
"Waikato",2011-05-31,178598,0.00973563400348265
"Wellington",2011-05-31,190419,0.0059218797874252
"West Coast",2011-05-31,16057,0.00828885400313961
"Auckland",2011-06-30,499387,0.00672917393241401
"Bay of Plenty",2011-06-30,115142,0.00666200384682636
"Canterbury",2011-06-30,232712,0.00769916945967242
"Gisborne",2011-06-30,17749,0.00333521763708311
"Hawke's Bay",2011-06-30,63349,0.00827643285743851
"Manawatu-Whanganui",2011-06-30,98331,0.00487460911153348
"Marlborough",2011-06-30,21761,0.00792033348772581
"Nelson",2011-06-30,19692,0.0112982744453574
"Northland",2011-06-30,72396,0.0111314403832456
"Otago",2011-06-30,92380,0.00794308907607033
"Southland",2011-06-30,42097,0.00599818381685235
"Taranaki",2011-06-30,46449,0.0123136605352627
"Tasman",2011-06-30,20932,0.00906286155032787
"Waikato",2011-06-30,178721,0.0098715065489845
"Wellington",2011-06-30,190557,0.00611938880030416
"West Coast",2011-06-30,16070,0.00866181270399191
"Auckland",2011-07-31,499677,0.00685101264011823
"Bay of Plenty",2011-07-31,115296,0.00740947854047258
"Canterbury",2011-07-31,232876,0.0078288981118031
"Gisborne",2011-07-31,17753,0.00350460686224641
"Hawke's Bay",2011-07-31,63393,0.00820649840164123
"Manawatu-Whanganui",2011-07-31,98365,0.00483185551424015
"Marlborough",2011-07-31,21769,0.00749757023186937
"Nelson",2011-07-31,19714,0.0121162336995584
"Northland",2011-07-31,72460,0.0113049546406141
"Otago",2011-07-31,92427,0.00773021653328687
"Southland",2011-07-31,42112,0.00594797315051476
"Taranaki",2011-07-31,46487,0.0123475609756099
"Tasman",2011-07-31,20958,0.00968348027171562
"Waikato",2011-07-31,178890,0.0100502512562815
"Wellington",2011-07-31,190655,0.006248977416069
"West Coast",2011-07-31,16086,0.00871637298551442
"Auckland",2011-08-31,499972,0.00705379982677701
"Bay of Plenty",2011-08-31,115359,0.0074229973189881
"Canterbury",2011-08-31,232969,0.00763395096970632
"Gisborne",2011-08-31,17752,0.00316455696202533
"Hawke's Bay",2011-08-31,63429,0.00837811198372074
"Manawatu-Whanganui",2011-08-31,98411,0.00491167160216488
"Marlborough",2011-08-31,21773,0.006890492045875
"Nelson",2011-08-31,19733,0.0125198830109292
"Northland",2011-08-31,72506,0.0112130763437561
"Otago",2011-08-31,92480,0.00786852372545166
"Southland",2011-08-31,42128,0.00584962872764616
"Taranaki",2011-08-31,46520,0.0121184430955334
"Tasman",2011-08-31,20978,0.00981996726677581
"Waikato",2011-08-31,179019,0.00980364506066644
"Wellington",2011-08-31,190746,0.00626190262662285
"West Coast",2011-08-31,16100,0.00889835819024931
"Auckland",2011-09-30,500252,0.00681268830491866
"Bay of Plenty",2011-09-30,115431,0.0074886753423582
"Canterbury",2011-09-30,233067,0.00734327996957229
"Gisborne",2011-09-30,17759,0.00344671714318001
"Hawke's Bay",2011-09-30,63483,0.00857919069634439
"Manawatu-Whanganui",2011-09-30,98448,0.00475597558735275
"Marlborough",2011-09-30,21781,0.00646920197772749
"Nelson",2011-09-30,19747,0.0125628140703518
"Northland",2011-09-30,72575,0.0113150230620236
"Otago",2011-09-30,92527,0.00791938997821351
"Southland",2011-09-30,42159,0.00598930991696101
"Taranaki",2011-09-30,46555,0.0118672433654285
"Tasman",2011-09-30,21005,0.0101957389506084
"Waikato",2011-09-30,179135,0.00963218468544635
"Wellington",2011-09-30,190832,0.0063970382714813
"West Coast",2011-09-30,16110,0.00895597169161388
"Auckland",2011-10-31,500501,0.0067788973127807
"Bay of Plenty",2011-10-31,115474,0.00719587610881911
"Canterbury",2011-10-31,233179,0.00726575290392528
"Gisborne",2011-10-31,17771,0.00372776051962731
"Hawke's Bay",2011-10-31,63507,0.00833571496618091
"Manawatu-Whanganui",2011-10-31,98468,0.00436556507547947
"Marlborough",2011-10-31,21786,0.00604941122142688
"Nelson",2011-10-31,19766,0.0124987193935047
"Northland",2011-10-31,72610,0.0107604716232581
"Otago",2011-10-31,92565,0.0072361262241567
"Southland",2011-10-31,42183,0.00603386596708799
"Taranaki",2011-10-31,46595,0.0112859468258275
"Tasman",2011-10-31,21037,0.0105682855358602
"Waikato",2011-10-31,179246,0.00931348258930575
"Wellington",2011-10-31,190908,0.0063679493937796
"West Coast",2011-10-31,16125,0.00932648973460193
"Auckland",2011-11-30,500835,0.00683303982823924
"Bay of Plenty",2011-11-30,115539,0.0070688933826093
"Canterbury",2011-11-30,233373,0.00728140673152455
"Gisborne",2011-11-30,17774,0.00372712898125149
"Hawke's Bay",2011-11-30,63548,0.00791447921457911
"Manawatu-Whanganui",2011-11-30,98504,0.00440492699241379
"Marlborough",2011-11-30,21799,0.00623153618906946
"Nelson",2011-11-30,19788,0.0128474177202231
"Northland",2011-11-30,72675,0.0105258766929002
"Otago",2011-11-30,92651,0.00750318069616474
"Southland",2011-11-30,42202,0.00612707116462041
"Taranaki",2011-11-30,46633,0.0109916316177427
"Tasman",2011-11-30,21050,0.0102222008926429
"Waikato",2011-11-30,179385,0.00918127964084992
"Wellington",2011-11-30,191021,0.00632174522313123
"West Coast",2011-11-30,16133,0.00887999499718584
"Auckland",2011-12-31,501003,0.00659405570590743
"Bay of Plenty",2011-12-31,115582,0.0071188951335337
"Canterbury",2011-12-31,233443,0.00698809005146162
"Gisborne",2011-12-31,17783,0.00378189207496038
"Hawke's Bay",2011-12-31,63565,0.00759280981517296
"Manawatu-Whanganui",2011-12-31,98540,0.00433165163328741
"Marlborough",2011-12-31,21807,0.00585793357933584
"Nelson",2011-12-31,19798,0.0128408451424771
"Northland",2011-12-31,72719,0.0100281956192618
"Otago",2011-12-31,92695,0.00711647109952196
"Southland",2011-12-31,42214,0.00576574859430101
"Taranaki",2011-12-31,46667,0.0108521422692025
"Tasman",2011-12-31,21064,0.0100700105495348
"Waikato",2011-12-31,179487,0.00903985293373588
