Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
1/12/2005,Northland,9450,9770,7580,77.6,8570,8930,6400,71.7,50220,9280,7550,17.1,4570,2840,445101100
,Auckland,12040,12460,9290,74.6,10390,10760,8070,75,589720,94450,85540,15.4,38200,29290,6741917800
,Waikato,10070,10440,7870,75.4,9190,9520,7000,73.5,153390,27330,22840,16.6,12900,8410,1456766600
,Bay of Plenty,9650,10050,7280,72.4,8630,9020,6320,70.1,99020,17780,16880,17.6,7840,6940,894982000
,Gisborne,8960,9330,6960,74.6,8090,8450,6140,72.7,17850,3730,3100,19.5,1920,1280,145964400
,Hawke's Bay,9550,9870,7680,77.8,8700,9000,6980,77.6,63370,12190,9760,17.7,6080,3650,567433100
,Taranaki,9900,10170,8420,82.8,8840,9100,7330,80.6,43640,7330,6190,15.7,3350,2220,411404800
,Manawatu-Wanganui,9340,9650,7220,74.8,8590,8900,6420,72.1,94690,15390,13720,15.5,7020,5350,828586400
,Wellington,12250,12590,10070,80,10290,10620,8080,76.1,217360,33600,30630,14.9,12600,9620,2540614600
,Tasman,8830,9160,6900,75.3,8180,8570,6440,75.2,14430,2960,2510,19.3,1580,1130,120270000
,Nelson,9250,9560,7030,73.5,8320,8630,6360,73.7,22760,3450,3290,14.9,1350,1200,199652900
,Marlborough,9170,9520,7300,76.7,8410,8790,6380,72.6,18900,4260,3820,21.6,1940,1500,160239100
,West Coast,9610,9900,7680,77.6,8810,9070,7040,77.6,12860,2470,1760,16.9,1310,600,116078200
,Canterbury,9970,10310,7660,74.3,9040,9360,6910,73.8,237000,39560,34820,15.9,17540,12810,2223321500
,Otago,9620,9920,7850,79.1,8840,9160,7140,78,87830,16290,16900,18.8,6710,7330,787321000
,Southland,9440,9690,7960,82.2,8870,9090,7570,83.3,40340,7500,5500,16.5,4170,2160,362778700
1/09/2005,Northland,8910,9260,7350,79.4,7960,8310,6460,77.7,48490,8450,8510,17.5,3990,4050,417968400
,Auckland,11360,11830,8690,73.5,9690,10060,7530,74.9,580800,92540,88930,15.7,35900,32290,6413658200
,Waikato,9460,9830,7430,75.6,8490,8840,6590,74.6,148910,24860,24780,16.7,10560,10480,1363692000
,Bay of Plenty,9000,9400,7100,75.5,8080,8460,6290,74.4,98090,18030,22400,20.2,7820,12190,851832300
,Gisborne,8380,8670,6990,80.6,7660,7940,6060,76.3,17220,3530,3710,20.9,1800,1980,136986100
,Hawke's Bay,8690,9000,6810,75.7,8050,8350,6120,73.3,60940,9990,14430,19.4,4150,8590,514220700
,Taranaki,9540,9900,7290,73.6,8250,8600,6210,72.2,42480,6350,6770,15.4,2820,3240,397636500
,Manawatu-Wanganui,8850,9210,6770,73.5,7980,8310,6110,73.5,93040,15120,14860,16.1,6690,6430,794230900
,Wellington,11270,11710,8740,74.6,9520,9910,7500,75.7,214410,32580,31400,15,12180,11000,2370133000
,Tasman,8340,8610,6660,77.4,7790,8020,6230,77.7,13990,2590,4230,23.1,1240,2880,111824600
,Nelson,9000,9370,6420,68.5,7980,8290,5730,69.1,22610,3580,3780,16.2,1390,1590,197524700
,Marlborough,8680,8990,6850,76.2,8060,8360,6350,76,18470,4050,3550,20.9,2040,1540,151414100
,West Coast,8780,8990,7550,84,8080,8270,6970,84.3,12140,1840,1900,15.4,790,850,103626400
,Canterbury,9310,9670,7090,73.3,8370,8730,6280,71.9,232260,37120,37090,16,15230,15200,2101497000
,Otago,8740,9080,6720,74,8010,8340,6110,73.3,88440,16170,15020,17.8,7500,6340,743819100
,Southland,8690,8990,6900,76.8,8030,8320,6240,75,38340,6580,8460,19.1,2880,4760,326696400
1/06/2005,Northland,8650,9210,6540,71,7860,8410,5680,67.5,48530,10690,10170,21.6,5320,4800,401545600
,Auckland,11170,11900,8080,67.9,9600,10190,6990,68.6,577290,113810,103450,19,50270,39920,6244246700
,Waikato,9250,9830,6850,69.7,8500,9030,6050,67,148870,29810,29000,19.8,13530,12730,1325412900
,Bay of Plenty,8880,9430,6740,71.5,8060,8560,5990,70,102430,27030,20880,24.1,15500,9350,850056800
,Gisborne,8160,8740,6020,68.9,7490,8010,5290,66,17390,3910,4960,24.8,1770,2810,136364000
,Hawke's Bay,8550,9090,6690,73.6,7940,8450,6220,73.6,65240,14890,14320,22.5,7070,6500,531583200
,Taranaki,9360,9900,6920,69.9,8360,8830,6010,68.1,42920,7970,7400,18,3710,3140,389132600
,Manawatu-Wanganui,8620,9170,6300,68.7,7920,8410,5680,67.5,92750,18010,17380,19.1,8170,7540,772465300
,Wellington,11280,12000,7880,65.7,9530,10130,6540,64.6,213260,40500,37120,18.3,18430,15050,2347327000
,Tasman,8260,8750,6360,72.7,7710,8180,5830,71.3,15620,4020,4420,26.6,2000,2400,122549100
,Nelson,8480,9110,6020,66.1,7790,8330,5390,64.7,22810,4690,4190,19.7,2160,1660,186902900
,Marlborough,8530,9040,6600,73,7970,8450,5980,70.8,17950,3860,4810,23.5,1550,2490,146598200
,West Coast,8480,8880,6710,75.6,7850,8280,5650,68.2,12220,1930,2530,17.8,780,1370,103049000
,Canterbury,9210,9780,6680,68.3,8350,8850,5940,67.1,232220,44200,44440,19.1,19160,19400,2068086600
,Otago,8590,9260,6110,66,8010,8620,5380,62.4,87300,18320,18490,21.1,8330,8510,722166300
,Southland,8680,9190,6220,67.7,8120,8650,5440,62.9,40210,7550,9740,20.9,3180,5370,345077800
1/03/2005,Northland,8610,8940,6690,74.8,7810,8130,5930,72.9,48020,9150,9200,19.1,4470,4510,387536600
,Auckland,11080,11510,8060,70,9420,9750,6940,71.2,566980,92360,95420,16.5,37170,40230,5958870300
,Waikato,9200,9550,6880,72,8290,8610,6230,72.4,147960,25960,26870,17.8,11790,12710,1279599900
,Bay of Plenty,8910,9280,6600,71.1,7900,8240,5760,69.9,96260,18520,19030,19.4,8440,8950,802174200
,Gisborne,8220,8550,6290,73.6,7620,7920,5750,72.6,18440,4710,4230,24.5,2590,2110,136387900
,Hawke's Bay,8710,9090,6360,70,8030,8390,5890,70.2,64720,15300,12780,22.1,7930,5400,524153600
,Taranaki,9380,9720,6950,71.5,8180,8490,6080,71.6,42350,7020,7010,16.6,3230,3220,381627000
,Manawatu-Wanganui,8730,9040,6690,74,7930,8210,6000,73.1,92080,16710,17160,18.4,7470,7930,754329900
,Wellington,11130,11530,8180,71,9360,9700,6850,70.6,209900,33080,33320,15.8,13630,13870,2215013800
,Tasman,8230,8670,6180,71.3,7640,8050,5850,72.7,16020,4250,3050,23.7,2610,1410,122743000
,Nelson,8570,9060,5880,64.9,7750,8160,5250,64.3,22300,4120,3980,18.2,1910,1770,181373700
,Marlborough,8440,8750,6610,75.5,7800,8160,5930,72.7,18900,4550,4170,23.3,2200,1820,147478500
,West Coast,8580,8950,6390,71.4,7800,8160,5830,71.5,12830,2360,1970,17.1,1190,790,105480100
,Canterbury,9090,9430,6820,72.3,8170,8460,6240,73.8,232560,40260,38560,17,17560,15850,1992746900
,Otago,8790,9140,6750,73.9,8010,8300,6340,76.4,87450,18690,16100,20.2,8920,6320,716660600
,Southland,8910,9150,7210,78.8,8310,8350,7020,84.1,42390,9640,7100,20.4,5810,3270,350198300
1/12/2004,Northland,8860,9210,6830,74.2,8080,8430,6070,72,48000,9020,7350,17.4,4570,2900,400135400
,Auckland,11500,11930,8630,72.3,10000,10370,7580,73.1,570140,94020,81590,15.6,39530,27090,6205433000
,Waikato,9630,10000,7270,72.7,8800,9150,6500,71,149000,26600,21590,16.5,13040,8030,1347166600
,Bay of Plenty,9090,9460,6880,72.7,8230,8620,6060,70.3,96810,17920,16930,18.1,8340,7360,829640200
,Gisborne,8590,8930,6420,71.9,7920,8250,5750,69.7,17960,3680,2940,18.8,1950,1210,140766700
,Hawke's Bay,8850,9160,6810,74.3,8280,8580,6440,75.1,62100,11810,9210,17.3,5990,3390,513195300
,Taranaki,9840,10140,7580,74.8,8610,8930,6270,70.2,42340,6680,5380,14.5,3260,1960,397527600
,Manawatu-Wanganui,8840,9130,6660,73,8130,8420,6040,71.7,92480,15380,13560,15.8,7130,5310,768242700
,Wellington,11690,12060,9040,75,9870,10190,7380,72.4,210260,31270,27270,14.1,12440,8450,2340618300
,Tasman,8630,8990,6570,73.1,7900,8250,6050,73.3,14800,3440,2610,21.1,1980,1150,117921600
,Nelson,8940,9250,6680,72.2,8140,8420,5930,70.4,22190,3900,4010,17.8,1550,1660,187234500
,Marlborough,8620,8970,6610,73.7,8040,8350,6180,74,18470,4320,3590,21.8,2160,1430,145980600
,West Coast,9150,9460,7190,76,8420,8700,6520,74.9,12430,2280,1670,16.3,1200,580,107650200
,Canterbury,9510,9840,7250,73.7,8660,8970,6520,72.7,230800,39180,33200,15.9,17460,11470,2074099700
,Otago,9030,9310,6980,75,8360,8640,6380,73.8,84820,15500,15640,18.3,6900,7040,717816600
,Southland,8980,9210,7520,81.7,8400,8600,7300,84.9,39820,7750,5570,17.2,4390,2200,341877900
1/09/2004,Northland,8380,8670,6790,78.3,7530,7850,5740,73.1,46340,7540,8050,16.7,3290,3800,374969500
,Auckland,10930,11360,8330,73.3,9430,9770,7200,73.7,557700,87560,83800,15.4,33160,29390,5935177100
,Waikato,9070,9410,7160,76.1,8240,8540,6470,75.8,143940,23630,22800,16.2,10070,9240,1263912500
,Bay of Plenty,8650,9010,6810,75.6,7800,8180,5850,71.5,95820,17270,20570,19.4,7550,10840,804728500
,Gisborne,7970,8300,5920,71.3,7330,7710,5240,68,17220,3330,3360,19.4,1630,1660,129239700
,Hawke's Bay,8360,8690,6370,73.3,7750,8080,5760,71.3,59500,9800,13430,18.9,4240,7880,481572900
,Taranaki,9310,9680,6850,70.8,8080,8390,6250,74.5,41000,6070,6090,14.8,2770,2790,373540700
,Manawatu-Wanganui,8440,8750,6540,74.7,7670,7990,5770,72.2,90690,14170,13790,15.5,6040,5650,741332300
,Wellington,10850,11230,8320,74.1,9200,9500,6920,72.8,206260,29590,28650,14.2,11080,10140,2197480400
,Tasman,8170,8430,6570,77.9,7550,7800,6050,77.6,13960,2650,3860,22.4,1300,2510,110493200
,Nelson,8600,8920,6320,70.9,7670,7980,5640,70.7,22300,3480,3710,16.1,1390,1630,185670400
,Marlborough,8230,8560,6230,72.8,7590,7910,5730,72.4,17730,3800,3310,20.3,1880,1390,139978700
,West Coast,8250,8400,7930,94.4,7500,7670,7090,92.4,11810,1840,1880,15.7,810,850,95297800
,Canterbury,8920,9250,6830,73.8,8080,8370,6160,73.6,224880,34860,34600,15.5,13910,13650,1940429800
,Otago,8320,8640,6320,73.2,7620,7980,5610,70.3,84960,15090,13940,17.2,7060,5900,682302800
,Southland,8350,8610,6570,76.3,7730,8000,5880,73.5,37640,6230,7830,18.3,2830,4430,308534100
1/06/2004,Northland,8090,8600,6000,69.8,7460,7970,5260,66,46840,9560,8110,19.2,5070,3620,364982100
,Auckland,10570,11230,7490,66.7,9230,9750,6610,67.8,554050,104760,87430,17.6,50010,32680,5699110200
,Waikato,8760,9320,6390,68.6,8120,8640,5710,66.1,143080,27880,24630,18.6,14050,10800,1214223700
,Bay of Plenty,8420,8970,6150,68.6,7690,8210,5540,67.5,99120,25810,18140,23.1,15710,8040,787209000
,Gisborne,7870,8380,6100,72.8,7360,7810,5430,69.5,17260,3890,4070,23,2010,2190,128077300
,Hawke's Bay,8280,8840,5950,67.3,7740,8230,5520,67.1,63120,14140,13080,21.7,7180,6120,499522700
,Taranaki,8870,9410,6110,64.9,8000,8480,5390,63.6,41030,7050,6410,16.5,3560,2920,353900700
,Manawatu-Wanganui,8230,8730,6060,69.4,7600,8070,5280,65.4,90330,16860,13800,17.3,8570,5510,718913300
,Wellington,10620,11290,7300,64.7,9100,9660,6160,63.8,205300,35980,28680,16,17720,10420,2133518000
,Tasman,7950,8420,6160,73.2,7400,7840,5700,72.7,15190,3890,4040,26,2090,2240,115229200
,Nelson,8140,8690,5850,67.3,7510,8020,5310,66.2,22540,4570,3630,18.6,2170,1240,177692600
,Marlborough,8090,8550,6110,71.5,7570,8000,5710,71.4,17240,3600,3960,21.7,1600,1960,135206500
,West Coast,7810,8220,5740,69.8,7290,7750,5180,66.8,11850,1970,2270,17.6,1010,1310,93154000
,Canterbury,8640,9160,6310,68.9,7900,8380,5590,66.7,224590,40590,36080,17.2,19030,14510,1883042800
,Otago,8100,8730,5670,65,7580,8180,5010,61.3,83780,17070,16350,20,8640,7920,660654000
,Southland,8130,8610,5720,66.4,7680,8150,4930,60.5,39240,6280,7740,17.6,2970,4430,317405500
1/03/2004,Northland,8090,8400,6360,75.7,7400,7700,5450,70.8,45370,8260,9160,19,3720,4620,352113900
,Auckland,10620,11040,7600,68.8,9080,9420,6520,69.2,536700,82500,94230,16.3,30650,42380,5493614900
,Waikato,8790,9150,6420,70.2,8000,8310,5730,69,139860,23850,27210,18,9990,13340,1181346600
,Bay of Plenty,8460,8810,6430,73,7600,7930,5690,71.8,91450,16440,17920,18.6,7030,8510,735421700
,Gisborne,7940,8220,6030,73.4,7410,7710,5310,68.9,17440,4250,4040,23.9,2300,2080,127928400
,Hawke's Bay,8350,8690,6450,74.2,7780,8080,6110,75.6,62060,14070,12620,21.8,7700,6250,483673200
,Taranaki,9010,9330,6510,69.8,7830,8130,5680,69.9,40380,5760,6660,15.2,2580,3470,350899700
,Manawatu-Wanganui,8160,8450,6120,72.4,7500,7770,5570,71.7,87270,14270,16120,17.2,6220,8060,686506000
,Wellington,10620,10980,7800,71,9000,9310,6470,69.5,198000,27650,32350,15,10020,14730,2032295600
,Tasman,7840,8260,5950,72,7300,7770,5610,72.2,15330,4310,3180,25.1,2720,1590,114729200
,Nelson,8270,8590,5910,68.8,7500,7800,5250,67.3,21610,3650,4020,17.7,1300,1670,170528500
,Marlborough,7990,8340,5810,69.7,7430,7800,5270,67.6,17600,4120,3790,22.7,2040,1710,132166800
,West Coast,7960,8290,6000,72.4,7270,7590,5670,74.7,12140,2280,2170,18.4,1080,970,92953600
,Canterbury,8620,8960,6270,70,7800,8080,5670,70.2,220050,36880,38730,17.1,15750,17590,1826402300
,Otago,8350,8670,6360,73.4,7750,8040,6010,74.8,83070,16790,16580,20.1,7750,7550,662091900
,Southland,8510,8690,7050,81.1,8040,8030,6980,86.9,40700,8690,7110,19.8,5100,3510,332941200
1/12/2003,Northland,8480,8790,6790,77.3,7810,8140,5880,72.2,46250,8410,7270,17.2,4110,2970,370118900
,Auckland,11150,11600,8250,71.1,9770,10130,7300,72.1,548320,86960,83190,15.6,34200,30430,5785848800
,Waikato,9310,9650,7470,77.4,8610,8950,6770,75.6,143130,25380,21790,16.7,12330,8740,1250672700
,Bay of Plenty,8840,9170,6840,74.6,8010,8370,5830,69.7,93080,16890,16860,18.1,7680,7650,771987700
,Gisborne,8280,8580,6320,73.7,7780,8060,5690,70.6,17210,3420,3250,19.5,1610,1440,130022300
,Hawke's Bay,8660,9000,6500,72.2,8040,8340,5920,71,60600,11470,9510,17.6,5690,3730,488483400
,Taranaki,9290,9660,6830,70.7,8340,8670,6260,72.2,41360,6400,5350,14.4,3220,2160,371758100
,Manawatu-Wanganui,8690,9010,6460,71.7,8010,8330,5620,67.5,89140,14470,14100,16.1,6180,5810,726550700
,Wellington,11320,11710,8320,71.1,9700,10020,7080,70.7,202840,27850,27790,13.7,10450,10380,2189407300
,Tasman,8290,8620,6720,78,7680,8070,6220,77.1,14520,3180,2890,21.1,1680,1390,112015400
,Nelson,8520,8850,6370,72,7770,8090,5650,69.8,21680,3590,3600,16.5,1440,1450,174070200
,Marlborough,8340,8700,6470,74.4,7750,8080,5780,71.5,17210,3650,3580,21,1670,1600,133862100
,West Coast,8350,8640,6410,74.2,7720,8050,5600,69.6,12020,2160,1730,16.5,1080,640,95489000
,Canterbury,9180,9520,6820,71.6,8400,8740,6090,69.7,221830,36330,34400,16,15230,13300,1919202600
,Otago,8770,9100,6740,74.1,8160,8480,6230,73.5,82850,15140,16270,18.8,6470,7600,679232000
,Southland,8750,8960,7330,81.8,8300,8480,7030,82.9,39120,7350,6050,17.4,3750,2440,328034900
1/09/2003,Northland,7900,8210,6140,74.8,7180,7500,5460,72.8,45110,7590,7910,17.1,3790,4100,342990600
,Auckland,10420,10850,8000,73.7,9060,9420,7020,74.5,544570,88510,76200,15.3,39730,27420,5426622200
,Waikato,8690,9030,6780,75.1,7960,8290,6150,74.2,139530,24460,22020,16.8,11410,8970,1156680000
,Bay of Plenty,8240,8600,6420,74.7,7500,7840,5620,71.7,93040,17010,18550,19,8020,9560,726166600
,Gisborne,7550,7860,6150,78.2,6940,7280,5230,71.8,17040,3390,3200,19.5,1790,1600,119029000
,Hawke's Bay,8040,8310,6390,76.9,7480,7790,5640,72.4,58640,9280,11940,17.7,4330,6990,444828900
,Taranaki,8910,9180,7290,79.4,7800,8090,6250,77.3,40310,6040,5670,14.6,2960,2590,344823300
,Manawatu-Wanganui,7960,8250,6300,76.4,7340,7640,5290,69.2,88760,14660,12670,15.6,6960,4970,669138700
,Wellington,10650,11060,7950,71.9,8980,9350,6580,70.4,202780,28160,25850,13.4,11900,9590,2088209300
,Tasman,7660,7920,6440,81.3,7140,7380,6030,81.7,14230,3070,4220,24.6,1610,2760,101819000
,Nelson,8240,8590,6040,70.3,7420,7730,5320,68.8,21690,3710,3250,16.2,1670,1210,169430400
,Marlborough,7740,8080,6010,74.4,7240,7540,5510,73.1,17130,3750,3010,20.2,2120,1380,124593900
,West Coast,7770,7970,6350,79.7,7160,7330,5790,79,11580,1700,1650,14.5,860,810,86684500
,Canterbury,8510,8810,6740,76.5,7720,8020,5800,72.3,219890,35640,31060,15.3,16630,12040,1776866500
,Otago,8020,8340,6260,75.1,7450,7760,5660,72.9,83970,16150,13150,17.8,8580,5580,632727000
,Southland,7970,8240,6260,76,7390,7680,5640,73.4,37820,6580,7540,18.4,3290,4250,290952900
1/06/2003,Northland,7780,8250,5870,71.2,7160,7600,5120,67.4,45440,9750,8130,20,5450,3830,337748400
,Auckland,10170,10760,7400,68.8,8940,9400,6500,69.2,532270,106930,89740,18.8,55770,38580,5262142900
,Waikato,8420,8910,6300,70.7,7790,8230,5550,67.4,137030,27170,23950,18.9,14210,10990,1111689100
,Bay of Plenty,8110,8570,6280,73.3,7420,7840,5460,69.6,94600,23700,16900,22.3,14680,7880,714196200
,Gisborne,7470,7910,5780,73.1,7000,7440,5400,72.6,16870,4110,3810,23.7,2370,2060,117427900
,Hawke's Bay,7910,8430,5640,66.9,7420,7930,5070,63.9,61280,13840,11040,20.8,7680,4880,462803200
,Taranaki,8690,9180,6230,67.9,7710,8160,5200,63.7,39940,6830,6390,16.6,3670,3230,339607600
,Manawatu-Wanganui,7920,8410,5620,66.8,7300,7770,4970,64,86780,16740,14590,18.3,8500,6360,659700900
,Wellington,10110,10670,7330,68.7,8740,9170,6260,68.3,200550,36150,30670,16.9,18680,13200,1981781200
,Tasman,7640,8110,5820,71.8,7090,7600,5290,69.6,15390,4500,3630,27.2,2600,1730,110133400
,Nelson,7960,8380,6190,73.9,7280,7640,5390,70.6,21220,4570,4030,20.5,2340,1800,163269100
,Marlborough,7680,8110,5940,73.2,7170,7580,5230,69,16400,3570,3630,21.9,1680,1740,120976700
,West Coast,7490,7810,5980,76.6,6950,7330,5000,68.2,11520,1900,2240,17.6,900,1240,85049200
,Canterbury,8300,8780,5960,67.9,7600,8050,5250,65.2,215250,40760,35800,18,20160,15200,1731356900
,Otago,7920,8510,5570,65.5,7400,7950,4900,61.6,80970,17030,15000,20,9010,6980,619276900
,Southland,8050,8490,5890,69.4,7520,8000,5150,64.4,38780,6610,7910,18.4,3200,4500,309831500
1/03/2003,Northland,7490,7800,5470,70.1,6920,7220,4860,67.3,43830,7980,8890,19.1,3530,4440,316948000
,Auckland,9980,10340,7380,71.4,8540,8840,6240,70.6,515170,76930,90160,16,27120,40350,4982550400
,Waikato,8180,8510,5980,70.3,7500,7800,5410,69.4,133740,22260,26260,17.9,8870,12870,1070836400
,Bay of Plenty,7890,8230,5740,69.7,7150,7500,4980,66.4,87790,15560,17290,18.5,6120,7860,663655300
,Gisborne,7370,7660,5550,72.5,6870,7150,4700,65.7,16560,3860,3830,23.3,2070,2050,114751300
,Hawke's Bay,7870,8180,6020,73.6,7340,7600,5690,74.9,58480,11930,10830,19.7,6310,5210,436099800
,Taranaki,8530,8760,6750,77.1,7500,7730,5610,72.6,39490,5740,6650,15.5,2460,3360,326660300
,Manawatu-Wanganui,7740,8030,5680,70.7,7130,7400,5150,69.6,84640,14020,16320,17.7,5740,8050,627744400
,Wellington,10090,10440,7350,70.4,8530,8830,5980,67.7,195070,26860,31640,14.8,9340,14120,1905673200
,Tasman,7320,7750,5500,71,6830,7280,5070,69.6,14530,3820,2810,23.6,2320,1310,103308300
,Nelson,7610,7950,5200,65.4,6950,7280,4820,66.2,20660,3370,3810,17.3,1180,1620,151265000
,Marlborough,7390,7640,5840,76.4,6920,7200,5320,73.9,16460,3820,3710,23,1940,1830,115612900
,West Coast,7430,7720,5620,72.8,6820,7120,5070,71.2,11860,2130,1990,17.5,1080,930,86367000
,Canterbury,8160,8460,6070,71.8,7390,7650,5350,69.9,210280,33060,35790,16.3,12750,15480,1645456100
,Otago,7850,8130,6030,74.2,7260,7480,5670,75.8,78930,15380,15500,19.6,6640,6750,589581300
,Southland,8130,8280,6520,78.7,7620,7620,6140,80.6,40080,8680,7090,20.1,5010,3420,310194800
1/12/2002,Northland,8260,8610,6250,72.6,7550,7900,5450,69,44710,8370,6160,16.7,4630,2430,345844200
,Auckland,10810,11210,8270,73.8,9510,9860,7220,73.2,528470,86120,71450,15.1,38030,23360,5425834000
,Waikato,9000,9370,6810,72.7,8280,8640,6160,71.3,137700,24770,19570,16.4,12640,7440,1162154500
,Bay of Plenty,8590,8990,6150,68.4,7880,8270,5460,66,89460,16080,14930,17.5,7580,6430,725369800
,Gisborne,7950,8280,6100,73.7,7340,7680,5480,71.4,16550,3430,2880,19.4,1790,1240,120778700
,Hawke's Bay,8400,8720,6290,72.1,7830,8120,5700,70.2,57350,10970,8270,17.2,5730,3030,453853900
,Taranaki,9010,9300,7220,77.6,8100,8390,5930,70.7,40390,6610,4540,14.2,3790,1720,349053000
,Manawatu-Wanganui,8420,8740,6150,70.4,7750,8070,5540,68.7,86960,15080,13180,16.4,7360,5460,683295400
,Wellington,10810,11130,8440,75.8,9300,9580,7090,74,199910,28210,32790,15.1,11500,16090,2084692700
,Tasman,7980,8400,5780,68.8,7400,7810,5310,68,13550,3050,2440,20.7,1740,1130,100740700
,Nelson,8320,8620,6250,72.5,7640,7950,5530,69.6,21020,3420,3170,15.8,1480,1230,166967600
,Marlborough,7810,8140,6030,74.1,7230,7560,5510,72.9,16320,3510,3060,20.4,1630,1190,121337600
,West Coast,8020,8330,6180,74.2,7370,7690,5470,71.1,11720,2270,1620,17.1,1250,600,89115300
,Canterbury,8780,9120,6460,70.8,8080,8390,5810,69.3,213120,35400,30300,15.6,15790,10690,1765369500
,Otago,8500,8820,6420,72.8,7940,8220,6010,73.1,79010,14570,14270,18.3,6600,6310,626071000
,Southland,8460,8690,6820,78.5,7980,8190,6270,76.6,38500,7500,5620,17.5,4120,2230,310246400
1/09/2002,Northland,7560,7830,6130,78.3,6960,7280,5190,71.3,42490,7450,8000,18.1,3620,4170,310598300
,Auckland,10000,10380,7590,73.1,8700,9000,6500,72.2,513840,82590,78310,15.7,33840,29560,5025268200
,Waikato,8310,8650,6350,73.4,7650,7990,5810,72.7,132500,23300,22680,17.4,10550,9920,1063266400
,Bay of Plenty,7960,8340,5900,70.7,7280,7660,5200,67.9,88310,16140,19690,19.9,6900,10450,669549100
,Gisborne,7260,7590,5360,70.6,6690,7040,4930,70,15990,3220,3480,20.8,1600,1870,110363800
,Hawke's Bay,7640,7890,5920,75,7140,7400,5250,71,54650,8600,12330,18.5,3990,7720,404243400
,Taranaki,8390,8650,6650,76.9,7500,7770,5770,74.3,38310,6280,6450,16.6,2990,3160,315749800
,Manawatu-Wanganui,7590,7880,5720,72.6,7030,7350,5070,69,85080,13980,13680,16.3,6300,6000,619910500
,Wellington,10230,10600,7680,72.5,8670,8990,6340,70.5,204510,34830,28820,15.8,18010,12000,2014256800
,Tasman,7400,7680,5840,76,6910,7200,5760,80,12940,2680,3630,23.5,1430,2380,90617100
,Nelson,8030,8340,5880,70.5,7160,7420,5410,72.9,20760,3440,3290,16.3,1500,1340,159432200
,Marlborough,7340,7640,5670,74.2,6860,7190,5230,72.7,15880,3400,3030,20.5,1720,1360,112677000
,West Coast,7400,7610,6200,81.5,6870,7030,5770,82.1,11080,1770,1930,16.6,800,960,80800400
,Canterbury,8100,8400,6080,72.4,7370,7650,5460,71.4,208000,32620,31980,15.6,13840,13200,1630519200
,Otago,7590,7880,5840,74.1,7060,7350,5230,71.2,78720,14860,13930,18.4,7350,6420,579423900
,Southland,7650,7910,6080,76.9,7090,7380,5410,73.3,36610,6680,8180,19.9,3050,4560,275022500
1/06/2002,Northland,7550,7950,6340,79.8,6960,7390,5190,70.2,43020,8900,8140,20,4470,3720,312367000
,Auckland,9810,10340,7820,75.6,8680,9100,6850,75.3,509740,91690,83790,17.4,39600,31700,4865008400
,Waikato,8150,8660,6190,71.5,7560,8050,5520,68.6,131880,24700,24120,18.6,11110,10530,1035736600
,Bay of Plenty,7920,8400,6230,74.2,7300,7760,5410,69.7,91840,22610,16760,22.1,13160,7310,670175100
,Gisborne,7240,7730,5480,70.9,6720,7220,4630,64.1,16260,3690,4450,24.4,1760,2520,110740900
,Hawke's Bay,7690,8180,5830,71.3,7270,7740,5200,67.2,58390,12280,12950,21.5,5490,6170,429677500
,Taranaki,8430,8920,6870,77,7530,7980,5830,73.1,38490,6550,6420,16.9,3160,3030,317650300
,Manawatu-Wanganui,7630,8100,5600,69.1,7040,7500,4810,64.1,84800,15400,14930,17.9,7130,6660,621461300
,Wellington,9720,10250,7360,71.8,8440,8880,6150,69.3,198290,33210,31400,16.4,14130,12320,1905094800
,Tasman,7450,7910,5910,74.7,6860,7300,5200,71.2,13850,3390,4210,26.7,1630,2440,98041700
,Nelson,7770,8210,6290,76.6,7050,7460,5590,74.9,20660,3870,3520,18,1600,1250,153329400
,Marlborough,7380,7780,6030,77.5,6920,7310,5200,71.1,15500,3270,3800,22.4,1320,1850,110989200
,West Coast,7340,7690,6260,81.4,6730,7060,5460,77.3,11250,2050,2180,18.7,910,1030,81261400
,Canterbury,7980,8430,6120,72.6,7350,7780,5280,67.9,207360,36050,36170,17.4,15700,15820,1600582200
,Otago,7570,8130,5670,69.7,7090,7630,4920,64.5,77790,15370,15520,19.8,7110,7260,570485200
,Southland,7810,8280,5790,69.9,7280,7800,4930,63.2,38100,6580,8390,19.2,2920,4720,299456300
1/03/2002,Northland,7250,7500,5940,79.2,6730,6950,5250,75.5,42250,8340,8400,19.8,4420,4480,291549100
,Auckland,9780,10110,7350,72.7,8370,8660,6170,71.3,501880,89520,90350,17.9,44160,45000,4689575500
,Waikato,8000,8220,6840,83.2,7340,7550,5900,78.2,131300,25100,25810,19.3,12560,13270,988277300
,Bay of Plenty,7770,8070,6010,74.5,7080,7370,5140,69.7,86030,16950,17290,19.9,8470,8810,621694800
,Gisborne,7140,7410,5440,73.4,6540,6800,4850,71.3,17020,4470,4020,25.2,2620,2170,108677000
,Hawke's Bay,7690,8000,5860,73.3,7140,7400,5610,75.8,59050,14440,11470,22.5,8550,5580,417805400
,Taranaki,8310,8580,6570,76.6,7260,7480,5880,78.6,38340,7360,7280,19.1,4390,4310,303317400
