Quarter,Region,Mean earnings of full quarter jobs,Mean earnings of continuing jobs,Mean earnings of new hires,Mean earnings ratio (%),Median earnings of full quarters jobs,Median earnings of continuing jobs,Median earnings of new hires,Median earnings ratio (%),Total filled jobs,Worker accessions,Worker separations,Worker turnover rate (%),Jobs creation,Job destruction,Total earnings
1/03/2008,Northland,9960,10330,7730,74.8,8900,9240,6860,74.2,51230,9180,11050,19.4,3790,5660,489326700
,Auckland,12610,13070,9420,72.1,10510,10910,7900,72.4,601050,92030,106290,16.3,33250,47500,7307055800
,Waikato,10410,10810,7780,72,9250,9610,7010,72.9,156300,26910,30360,18.1,11310,14760,1569176900
,Bay of Plenty,10090,10490,7590,72.4,8900,9260,6740,72.8,103650,18720,20630,18.8,7730,9640,997283300
,Gisborne,9520,9860,7430,75.4,8560,8860,6530,73.7,18240,4090,4240,22.8,2120,2280,161346000
,Hawke's Bay,9780,10150,7770,76.6,8950,9280,7090,76.4,68710,15650,13340,21.5,8360,6050,629583600
,Taranaki,10980,11290,9300,82.4,9320,9520,7850,82.5,45320,7280,7540,16.3,3280,3530,493288600
,Manawatu-Wanganui,9990,10330,7580,73.4,8970,9240,6920,74.9,93500,14630,17070,16.7,5800,8240,900165100
,Wellington,12700,13120,9680,73.8,10590,10940,7950,72.7,225660,33680,38150,15.8,12060,16530,2748789400
,Tasman,9490,9820,8210,83.6,8560,9000,6820,75.8,16160,4080,3080,22.9,2350,1340,142448900
,Nelson,9920,10280,7230,70.3,8840,9190,6370,69.3,23230,3920,4390,17.7,1450,1920,221680600
,Marlborough,9880,10230,7770,76,9120,9420,7280,77.3,20470,4630,4580,22.5,2080,2030,190394100
,West Coast,10200,10580,8160,77.1,9230,9530,7420,77.9,13570,2480,2330,17.9,1110,950,134460000
,Canterbury,10520,10880,8060,74.1,9330,9640,7200,74.7,244960,40330,44080,17.1,16310,20050,2471592900
,Otago,10120,10500,7980,76,9110,9420,7400,78.6,91060,18480,18100,20.1,8290,7920,870278900
,Southland,10080,10250,8640,84.3,9290,9230,8400,91,43580,9540,7750,20.2,5560,3770,420977000
1/12/2007,Northland,10430,10850,7930,73.1,9430,9860,7080,71.8,53000,9890,7570,16.8,4980,2660,515157300
,Auckland,13240,13720,10080,73.5,11330,11750,8750,74.5,615640,100670,87730,15.5,41620,28680,7741509700
,Waikato,11110,11530,8660,75.1,10050,10420,7810,75,159770,28380,23260,16.4,13140,8010,1671478200
,Bay of Plenty,10590,11010,8090,73.5,9480,9880,7200,72.9,105300,19470,19050,18.3,8830,8410,1046627200
,Gisborne,9950,10330,7940,76.9,9020,9400,6890,73.3,18380,3820,3260,19.6,1920,1360,169117900
,Hawke's Bay,10180,10520,8130,77.3,9380,9690,7300,75.3,66450,13590,10290,18.4,6830,3540,631546000
,Taranaki,11230,11540,9120,79,9870,10190,7680,75.4,45570,7440,6220,15.2,3540,2320,498303200
,Manawatu-Wanganui,10240,10560,8130,77,9370,9650,7350,76.2,95990,15470,13450,15.2,7170,5160,926596300
,Wellington,13510,13980,10280,73.5,11250,11630,8560,73.6,230170,35130,30720,14.4,13870,9460,2951969700
,Tasman,9640,10030,7520,75,8870,9250,7000,75.7,15140,3310,2530,19.8,1870,1090,136670700
,Nelson,10260,10630,7610,71.6,9270,9610,6830,71.1,23630,3790,3340,15.2,1620,1170,229774500
,Marlborough,10180,10530,8400,79.8,9420,9790,7470,76.3,20380,4630,4310,22.2,2150,1830,192201400
,West Coast,10440,10840,8260,76.2,9600,10000,7710,77.1,13400,2560,1850,16.9,1330,620,133136300
,Canterbury,11090,11490,8490,73.9,9980,10330,7730,74.8,248720,42430,36400,16,18660,12620,2599816700
,Otago,10550,10930,8110,74.2,9660,10000,7540,75.4,90730,17030,16970,18.8,7560,7490,898122300
,Southland,10200,10570,8030,76,9480,9840,7530,76.5,41760,8680,6150,18.3,4780,2250,408579400
1/09/2007,Northland,9820,10210,7790,76.3,8810,9190,6930,75.4,50690,8440,8830,17,3690,4090,481397000
,Auckland,12500,12990,9730,74.9,10570,10970,8360,76.2,602730,95730,91870,15.6,36460,32600,7342207500
,Waikato,10430,10830,8400,77.6,9280,9630,7530,78.2,154620,26750,26210,17.2,11510,10960,1560012600
,Bay of Plenty,9920,10290,8190,79.6,8880,9270,7200,77.7,104900,19470,24090,20.3,7700,12320,1000025000
,Gisborne,9290,9660,7260,75.2,8440,8790,6560,74.6,17810,3570,3550,20,1800,1770,155553600
,Hawke's Bay,9550,9880,7620,77.1,8770,9080,6810,75,63140,10440,13660,18.6,4660,7880,583899700
,Taranaki,10880,11160,9550,85.6,9350,9590,7890,82.3,44360,6930,6910,15.6,3220,3200,474683600
,Manawatu-Wanganui,9740,10090,7790,77.2,8760,9070,7000,77.2,93990,14850,14050,15.5,6420,5630,887842600
,Wellington,12490,12960,9870,76.2,10450,10820,8390,77.5,225710,33560,32700,14.7,11910,11050,2744472200
,Tasman,9160,9450,7790,82.4,8490,8760,7160,81.7,14360,2730,3800,21.9,1290,2360,127419600
,Nelson,9970,10360,7510,72.5,8860,9210,6890,74.8,23180,3490,3650,15.4,1300,1460,223145400
,Marlborough,9740,10080,8150,80.9,9020,9360,7600,81.2,20060,4730,3960,22.1,2470,1710,187945300
,West Coast,10020,10280,8700,84.6,9060,9250,7980,86.3,12690,1880,1880,14.8,820,820,123966100
,Canterbury,10380,10750,8390,78.1,9250,9580,7480,78.1,242700,38930,38230,15.9,15910,15210,2437647100
,Otago,9790,10150,7820,77,8860,9190,7120,77.5,90650,17060,16060,18.4,7890,6890,851336000
,Southland,9630,9960,7730,77.6,8820,9120,7170,78.6,39240,6560,8540,18.8,2870,4850,371087300
1/06/2007,Northland,9560,10060,7860,78.1,8680,9180,6730,73.3,51070,10710,9400,19.9,5690,4390,470489600
,Auckland,12080,12800,8760,68.4,10370,10950,7660,70,599000,113570,98370,17.9,51650,36450,7037067500
,Waikato,10120,10750,7270,67.6,9220,9750,6520,66.9,154280,30380,29060,19.4,14360,13040,1506024200
,Bay of Plenty,9640,10170,7490,73.7,8740,9230,6650,72.1,109520,29350,19800,23.5,18040,8490,990275000
,Gisborne,9230,9790,6840,69.9,8400,8870,6360,71.7,17790,3950,4130,22.6,1970,2150,155625400
,Hawke's Bay,9420,10000,6980,69.8,8690,9210,6600,71.7,66300,14550,15460,22.5,6690,7600,602500700
,Taranaki,10260,10680,8860,83,9050,9460,7400,78.2,44470,7910,7450,17.4,3650,3180,451243100
,Manawatu-Wanganui,9410,9920,7060,71.2,8600,9060,6290,69.4,92830,16860,16330,17.9,7840,7310,849117400
,Wellington,12180,12920,8670,67.1,10240,10850,7290,67.2,224860,43050,35620,17.8,20750,13330,2675543700
,Tasman,8880,9370,6750,72,8290,8780,6260,71.3,15410,3800,3840,24.7,1960,2000,131499100
,Nelson,9510,10070,7210,71.6,8660,9180,6490,70.7,23340,4590,4110,18.9,2160,1680,214865700
,Marlborough,9430,9930,7180,72.3,8780,9270,6590,71.1,19280,4140,4470,22.2,1760,2090,177418500
,West Coast,9450,9820,8290,84.4,8770,9110,7350,80.7,12700,2260,2600,18.9,1010,1350,118160500
,Canterbury,10090,10670,7270,68.1,9100,9600,6500,67.7,241960,46030,39930,18,21830,15730,2369578300
,Otago,9450,10200,6490,63.6,8690,9370,5860,62.5,89680,19000,17400,20.5,9100,7490,823329100
,Southland,9470,9990,6670,66.8,8810,9360,6000,64.1,41230,7230,7650,18,3470,3890,384018600
1/03/2007,Northland,9320,9720,6990,71.9,8380,8790,6110,69.5,49800,8930,10340,19.1,3840,5250,448012600
,Auckland,11950,12380,8960,72.4,10050,10400,7630,73.4,583880,91760,105190,16.7,34070,47510,6721582400
,Waikato,9960,10350,7470,72.2,8900,9250,6620,71.6,152870,25780,30340,18.1,10540,15100,1451387100
,Bay of Plenty,9430,9830,7110,72.3,8440,8820,6280,71.2,99840,18480,21070,19.6,7520,10100,902654800
,Gisborne,8900,9230,6730,72.9,8190,8550,6120,71.6,18070,4080,4240,22.9,2080,2230,149905600
,Hawke's Bay,9260,9660,7160,74.1,8590,8920,6640,74.4,67190,15780,13140,22,8540,5900,586966300
,Taranaki,10160,10470,8140,77.8,8800,9080,7000,77.1,43990,7230,7350,16.6,3410,3530,436479700
,Manawatu-Wanganui,9350,9650,7350,76.2,8490,8750,6660,76.1,92290,14670,16910,16.9,6260,8490,828259500
,Wellington,12030,12430,9160,73.7,10050,10380,7470,72,217410,32190,38410,16,11760,17980,2524645800
,Tasman,8700,9140,6700,73.3,8010,8440,6280,74.4,15450,3840,3090,23,2160,1410,127132000
,Nelson,9270,9630,6750,70.1,8420,8770,5790,66,22840,3930,4190,17.7,1480,1740,205666000
,Marlborough,9170,9510,7620,80.1,8480,8780,6900,78.6,19590,4360,4190,21.9,2060,1890,169095400
,West Coast,9320,9710,7150,73.6,8420,8790,6750,76.8,13040,2490,2500,19.1,1250,1260,118230100
,Canterbury,9890,10260,7530,73.4,8810,9150,6810,74.4,235930,38650,42680,17.1,16070,20100,2239084600
,Otago,9520,9880,7370,74.6,8640,8940,6680,74.7,88090,17800,18420,20.5,7690,8320,792938200
