"date","index","area","level","measure","freq","area_number"
2006-04-30,0.861403078673896,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-05-31,0.973467363522342,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-06-30,0.99022262011398,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-07-31,1.01757575073246,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-08-31,0.950095565034784,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-09-30,0.976220932362925,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-10-31,0.915665175382948,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-11-30,1,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2006-12-31,0.918753049702614,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-01-31,0.972460165288328,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-02-28,0.98049012731604,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-03-31,1.00553212428173,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-04-30,1.00021019903167,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-05-31,1.02952531980479,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-06-30,1.03382117651665,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-07-31,1.08203951363779,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-08-31,1.06745650872229,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-09-30,1.01883226350183,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-10-31,1.03271341578213,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-11-30,0.973457009651792,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2007-12-31,1.03320790305412,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-01-31,1.02350860987773,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-02-29,1.09701550948007,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-03-31,1.1052157541461,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-04-30,1.00705731983015,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-05-31,1.09567547451205,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-06-30,1.09752311061202,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-07-31,1.09909982652312,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-08-31,1.08546928652958,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-09-30,1.0461955655602,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-10-31,1.10524596739049,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-11-30,1.04903207433418,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2008-12-31,1.05403704864121,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-01-31,1.11601181516817,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-02-28,1.03330091614149,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-03-31,1.05910677675764,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-04-30,1.12142422742373,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-05-31,1.09472223882322,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-06-30,1.11277967850209,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-07-31,1.19369886707682,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-08-31,1.02733604444848,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-09-30,1.03873783747187,"Ashburton District","Territorial Local Authority","flow","Monthly",63
2009-10-31,1.077512327381,"Ashburton District","Territorial Local Authority","flow","Monthly",63
