"date","index","type","area","change_since06"
2006-11-30,1.01876637096837,"relative rental price index","Marlborough",0.019
2006-11-30,1.02978723646549,"relative rental price index","Nelson",0.03
2006-11-30,1.01755279747105,"relative rental price index","Northland",0.018
2006-11-30,0.96911040724229,"relative rental price index","Otago",-0.031
2006-11-30,0.972462248111669,"relative rental price index","Southland",-0.028
2006-11-30,1.00548388555666,"relative rental price index","Taranaki",0.005
2006-11-30,1.01353949548925,"relative rental price index","Tasman",0.014
2006-11-30,0.994811928680147,"relative rental price index","Waikato",-0.005
2006-11-30,1.02254479081878,"relative rental price index","Wellington",0.023
2006-11-30,1.04741161348301,"relative rental price index","West Coast",0.047
2006-12-31,0.999012879553229,"relative rental price index","Auckland",-0.001
2006-12-31,1.02261481147718,"relative rental price index","Bay of Plenty",0.023
2006-12-31,1.05148077532112,"relative rental price index","Canterbury",0.051
2006-12-31,1.06903795261406,"relative rental price index","Gisborne",0.069
2006-12-31,1.00397491026728,"relative rental price index","Hawke's Bay",0.004
2006-12-31,1.00252301611231,"relative rental price index","Manawatu- Whanganui",0.003
2006-12-31,0.98745570824861,"relative rental price index","Marlborough",-0.013
2006-12-31,1.0172771298361,"relative rental price index","Nelson",0.017
2006-12-31,1.01571999685117,"relative rental price index","Northland",0.016
2006-12-31,1.00174234616588,"relative rental price index","Otago",0.002
2006-12-31,1.00287026477106,"relative rental price index","Southland",0.003
2006-12-31,1.00747941456339,"relative rental price index","Taranaki",0.007
2006-12-31,1.02270942850379,"relative rental price index","Tasman",0.023
2006-12-31,1.00347097739853,"relative rental price index","Waikato",0.003
2006-12-31,0.998836595063905,"relative rental price index","Wellington",-0.001
2006-12-31,1.03920956560128,"relative rental price index","West Coast",0.039
2007-01-31,0.978510035006663,"relative rental price index","Auckland",-0.021
2007-01-31,0.995491411969465,"relative rental price index","Bay of Plenty",-0.005
2007-01-31,1.00003234646637,"relative rental price index","Canterbury",0
2007-01-31,1.04662854309019,"relative rental price index","Gisborne",0.047
2007-01-31,0.971412291892401,"relative rental price index","Hawke's Bay",-0.029
2007-01-31,0.990521125039396,"relative rental price index","Manawatu- Whanganui",-0.009
2007-01-31,0.971223211183431,"relative rental price index","Marlborough",-0.029
2007-01-31,1.04287906797846,"relative rental price index","Nelson",0.043
2007-01-31,0.980724848115015,"relative rental price index","Northland",-0.019
2007-01-31,1.01587412562035,"relative rental price index","Otago",0.016
2007-01-31,0.958481984870122,"relative rental price index","Southland",-0.042
2007-01-31,0.999236609646674,"relative rental price index","Taranaki",-0.001
2007-01-31,1.02550597713065,"relative rental price index","Tasman",0.026
2007-01-31,0.977785644648306,"relative rental price index","Waikato",-0.022
2007-01-31,1.00758072070923,"relative rental price index","Wellington",0.008
2007-01-31,1.03110826767828,"relative rental price index","West Coast",0.031
2007-02-28,0.980498822747008,"relative rental price index","Auckland",-0.02
2007-02-28,0.994198152942072,"relative rental price index","Bay of Plenty",-0.006
2007-02-28,1.01368379540334,"relative rental price index","Canterbury",0.014
2007-02-28,1.05935878675044,"relative rental price index","Gisborne",0.059
2007-02-28,0.972245098865646,"relative rental price index","Hawke's Bay",-0.028
2007-02-28,0.989494864328611,"relative rental price index","Manawatu- Whanganui",-0.011
2007-02-28,0.988138285305313,"relative rental price index","Marlborough",-0.012
2007-02-28,1.01670953485543,"relative rental price index","Nelson",0.017
2007-02-28,1.01276184810535,"relative rental price index","Northland",0.013
2007-02-28,0.993931346450256,"relative rental price index","Otago",-0.006
2007-02-28,0.953238206326729,"relative rental price index","Southland",-0.047
2007-02-28,1.02237845397798,"relative rental price index","Taranaki",0.022
2007-02-28,0.975332820734075,"relative rental price index","Tasman",-0.025
2007-02-28,0.975421757992205,"relative rental price index","Waikato",-0.025
2007-02-28,1.05636436561239,"relative rental price index","Wellington",0.056
2007-02-28,0.979544558409795,"relative rental price index","West Coast",-0.02
2007-03-31,0.994051659517882,"relative rental price index","Auckland",-0.006
2007-03-31,1.00414263321254,"relative rental price index","Bay of Plenty",0.004
2007-03-31,1.00688953513082,"relative rental price index","Canterbury",0.007
