"","earnings.change","pop.change","dwells_nz_stats.change","mrate.change","cpi_exRent.change","unemp.change","Date","rpi.change"
"2022-09-28",5.29251505467192,0.222948264954447,2.34877474596732,38.0272067831796,6.87394449173018,-5.70863333060193,2022-09-28,-0.867062500457877
"2022-12-28",6.01378692858637,0.453736045516782,2.49024924241194,39.4016283944518,5.86393846423119,-0.625455122417288,2022-12-28,-0.867062500457877
"2023-03-28",4.8106788699837,0.589743256885375,2.63172373885655,29.4559248642234,4.62831032589604,0.830893942999251,2023-03-28,-0.867062500457877
"2023-06-28",3.45306903396229,0.582037480214055,2.77319823530117,15.8754672841406,3.45116032359149,-0.324046441726902,2023-06-28,-0.867062500457877
"2023-09-28",3.78729931552782,0.513294008336068,2.91467273174579,3.95271910497815,2.49935425280636,0.342029423612748,2023-09-28,-0.867062500457877
"2023-12-28",3.85455855261974,0.466634936009385,3.05614722819041,-3.79924183007575,1.78561628478163,-0.157853511189148,2023-12-28,-0.867062500457877
"2024-03-28",3.40275482765722,0.46443797968187,3.19762172463503,-7.10729596213562,1.37902877832177,0.143568094194574,2024-03-28,-0.867062500457877
"2024-06-28",3.57523942003428,0.484484084577123,3.33909622107965,-7.02702620069236,1.213718600279,-0.0742813410331166,2024-06-28,-0.867062500457877
"2024-09-28",3.81708458737279,0.500152405065598,3.48057071752427,-5.07104904852789,1.24980546666657,0.0611731936507355,2024-09-28,-0.867062500457877
"2024-12-28",3.65592246453497,0.502300015454554,3.62204521396888,-2.59656868932311,1.42111830271251,-0.0342302808780003,2024-12-28,-0.867062500457877
"2025-03-28",3.64114128426312,0.496598714296809,3.7635197104135,-0.504658524901592,1.6576673148966,0.0263580217329528,2025-03-28,-0.867062500457877
"2025-06-28",3.77248175476685,0.491435871798045,3.90499420685812,0.80410152050926,1.91322437529359,-0.0155661858763107,2025-06-28,-0.867062500457877
"2025-09-28",3.72463453371284,0.490308699690157,4.04646870330274,1.3183581528667,2.14274415602601,0.0114497229455567,2025-09-28,-0.867062500457877
"2025-12-28",3.67135416630643,0.491880760995389,4.18794319974736,1.2478212493315,2.32496789478364,-0.0070178415243749,2025-12-28,-0.867062500457877
"2026-03-28",3.72515995894701,0.493552607181286,4.32941769619198,0.868969665876862,2.4489735085854,0.00500271298762727,2026-03-28,-0.867062500457877
"2026-06-28",3.72686760935951,0.494044827077406,4.47089219263659,0.420484987825554,2.5150895343741,-0.00314584890296872,2026-06-28,-0.867062500457877
"2026-09-28",3.69141510745789,0.493628721759654,4.61236668908121,0.0549711951040283,2.53269733952148,0.00219485324061461,2026-09-28,-0.867062500457877
"2026-12-28",3.70730503255759,0.493096241109427,4.75384118552583,-0.164674298059512,2.51354711470292,-0.00140476297904429,2026-12-28,-0.867062500457877
"2027-03-28",3.72003378665698,0.492900215004246,4.89531568197045,-0.242896928388691,2.47184049459236,0.000965741542037529,2027-03-28,-0.867062500457877
"2027-06-28",3.70385944281195,0.493004058229655,5.03679017841507,-0.220646680695104,2.42002406976011,-0.000625660975924973,2027-06-28,-0.867062500457877
